"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Wealth","Sex","Location","Language","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","rlevel1_m","rlevel2_m","rlevel3_m","rlevel4_m","rlevel1_se","rlevel2_se","rlevel3_se","rlevel4_se","rlevel1_no","rlevel2_no","rlevel3_no","rlevel4_no","slevel1_m","slevel2_m","slevel3_m","slevel4_m","slevel1_se","slevel2_se","slevel3_se","slevel4_se","slevel1_no","slevel2_no","slevel3_no","slevel4_no"
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","1","Male","Urban",,0.0867,0.0093,0,0,0.0431,0.0119,0,0,11,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","1","Male","Rural",,0.0215,4e-04,0,0,0.0109,8e-04,0,0,9,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","2","Female","Urban",,0.1479,0.0163,5e-04,0,0.0476,0.0147,0.0025,0,30,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","2","Female","Rural",,0.0253,0.0063,0.0011,0,0.0102,0.0049,0.0026,0,13,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","2","Male","Urban",,0.0804,0.0018,0,0,0.0275,0.0055,0,0,17,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","2","Male","Rural",,0.0326,0.0045,2e-04,0,0.0131,0.0057,0.0011,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","3","Female","Urban",,0.1869,0.0436,0.0049,4e-04,0.0453,0.0214,0.0051,0.0019,49,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","3","Female","Rural",,0.0404,0.0062,3e-04,0,0.0235,0.0053,9e-04,0,9,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","3","Male","Urban",,0.1406,0.0303,0.0012,0,0.049,0.0184,0.0037,0,29,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","3","Male","Rural",,0.0812,0.0065,2e-04,0,0.0244,0.0068,0.001,0,19,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","4","Female","Urban",,0.3071,0.0859,0.005,0,0.0656,0.0366,0.0065,0,71,17,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","4","Female","Rural",,0.0843,0.0094,0.0023,0,0.0296,0.0099,0.004,0,18,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","4","Male","Urban",,0.1676,0.0477,0.0101,0,0.0593,0.0255,0.0109,0,45,12,3,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","4","Male","Rural",,0.1515,0.0253,0.0052,6e-04,0.0376,0.0126,0.0057,0.0026,35,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","5","Female","Urban",,0.3211,0.0965,0.0119,0,0.0645,0.0328,0.0103,0,88,28,3,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","5","Female","Rural",,0.2065,0.0581,0.016,0,0.053,0.0286,0.0109,0,34,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","5","Male","Urban",,0.2314,0.0964,0.0152,0,0.0736,0.0438,0.0132,0,46,20,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Location","5","Male","Rural",,0.2369,0.0714,0.0039,0,0.0477,0.0231,0.0083,0,45,14,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","1","Female",,"Yes",0.3765,0.0993,0.0173,6e-04,0.028,0.0185,0.0095,0.0013,242,60,6,1,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","1","Male",,"Yes",0.5202,0.2101,0.0452,0.0057,0.0352,0.0287,0.0141,0.0049,244,97,17,1,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","2","Female",,"Yes",0.4269,0.1214,0.0153,4e-04,0.0284,0.018,0.006,0.0011,212,56,8,0,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","2","Male",,"Yes",0.5453,0.1829,0.0479,0.0041,0.0251,0.0202,0.01,0.0038,337,118,30,4,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","3","Female",,"Yes",0.512,0.2056,0.0477,0.0046,0.0295,0.0241,0.0117,0.0043,271,112,23,2,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","3","Male",,"Yes",0.6265,0.2727,0.0731,0.0103,0.0301,0.0241,0.014,0.0062,347,152,41,7,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","4","Female",,"Yes",0.6727,0.3168,0.0797,0.0065,0.0327,0.0318,0.0183,0.0045,325,153,43,4,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","4","Male",,"Yes",0.7386,0.4454,0.1523,0.0252,0.0229,0.0273,0.0178,0.0091,425,251,80,15,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","5","Female",,"Yes",0.8429,0.4974,0.1678,0.0199,0.0224,0.0381,0.028,0.0088,427,250,87,8,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Sex & Language","5","Male",,"Yes",0.8571,0.6013,0.2449,0.0392,0.0219,0.0337,0.0242,0.0125,483,346,138,29,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","1","Female",,"Yes",0.1539,0.0105,3e-04,0,0.0278,0.0087,0.0011,0,67,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","1","Female",,"No",0.1101,0.0075,0,0,0.0516,0.0135,0,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","1","Male",,"Yes",0.265,0.0432,0.0053,0,0.0358,0.017,0.0105,0,107,23,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","1","Male",,"No",0.1218,0.0089,8e-04,0,0.0474,0.0118,0.0039,0,11,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","2","Female",,"Yes",0.1977,0.0193,8e-04,0,0.0296,0.0104,0.0021,0,86,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","2","Male",,"Yes",0.3336,0.0703,0.0029,0,0.0347,0.0206,0.0029,0,140,23,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","2","Male",,"No",0.1517,0.0178,0,0,0.0598,0.0161,0,0,8,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","3","Female",,"Yes",0.2872,0.049,0.0012,0,0.0331,0.021,0.0018,0,125,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","3","Male",,"Yes",0.3978,0.0843,0.0079,0,0.0316,0.0168,0.0056,0,209,47,5,0,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","4","Female",,"Yes",0.4204,0.1197,0.0073,5e-04,0.0432,0.0275,0.0048,0.0013,200,51,2,1,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","4","Male",,"Yes",0.5296,0.1552,0.0244,0.001,0.0363,0.0263,0.0117,0.0016,258,80,16,1,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","5","Female",,"Yes",0.663,0.3147,0.0604,0.0044,0.0575,0.0673,0.0296,0.0053,305,127,21,2,,,,,,,,,,,,,,,,,,,,,,,,
"GTM",2015,,"Upper secondary","PISA-D","Guatemala",320,"Wealth & Sex & Language","5","Male",,"Yes",0.6972,0.3047,0.0717,0.0027,0.0339,0.0368,0.0177,0.0025,332,148,37,2,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","1","Female",,"Yes",0.2544,0.0571,0.0058,0,0.0299,0.0153,0.0059,0,147,33,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","1","Male",,"Yes",0.3451,0.0896,0.0093,0,0.0355,0.0218,0.0079,0,126,35,5,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","2","Female",,"Yes",0.306,0.0603,0.0051,2e-04,0.0309,0.0183,0.0044,9e-04,162,24,4,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","2","Male",,"Yes",0.4067,0.1132,0.0088,0.0022,0.0372,0.023,0.0068,0.0025,152,53,5,1,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","3","Female",,"Yes",0.3164,0.0594,0.0089,9e-04,0.0393,0.013,0.0052,0.0017,159,31,7,1,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","3","Male",,"Yes",0.4741,0.1681,0.0295,0.0021,0.0315,0.0295,0.0112,0.0024,208,77,14,1,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","4","Female",,"Yes",0.3986,0.1388,0.0248,0.0024,0.0357,0.0222,0.0097,0.0025,169,63,14,0,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","4","Male",,"Yes",0.5012,0.2112,0.0628,0.0141,0.0412,0.0368,0.027,0.0108,220,97,29,7,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","5","Female",,"Yes",0.6974,0.3766,0.1217,0.0142,0.0379,0.0477,0.0308,0.0079,296,159,52,9,,,,,,,,,,,,,,,,,,,,,,,,
"HND",2016,,"Upper secondary","PISA-D","Honduras",340,"Wealth & Sex & Language","5","Male",,"Yes",0.7123,0.4065,0.1734,0.0386,0.0445,0.0538,0.0364,0.0153,303,178,79,16,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","1","Female",,"Yes",0.1929,0.0231,0.0016,0,0.0223,0.0108,0.0024,0,112,17,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","1","Male",,"Yes",0.2279,0.0468,0.0024,0,0.0341,0.021,0.0039,0,74,19,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","2","Female",,"Yes",0.2614,0.0592,0.0053,0,0.0316,0.0148,0.0054,0,141,25,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","2","Male",,"Yes",0.2926,0.0762,0.0095,0,0.0348,0.0257,0.0082,0,116,29,3,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","3","Female",,"Yes",0.3234,0.0861,0.0088,8e-04,0.0298,0.0188,0.0055,0.0019,153,47,4,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","3","Male",,"Yes",0.355,0.0994,0.0109,8e-04,0.0323,0.0217,0.0071,0.0021,144,49,4,1,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","4","Female",,"Yes",0.404,0.1176,0.0128,5e-04,0.0305,0.0242,0.008,0.0016,193,63,3,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","4","Male",,"Yes",0.4079,0.1275,0.024,0.0014,0.0355,0.0228,0.0121,0.0043,178,58,11,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","5","Female",,"Yes",0.5246,0.2118,0.0355,0.0013,0.0352,0.0282,0.012,0.0024,242,106,21,0,,,,,,,,,,,,,,,,,,,,,,,,
"KHM",2016,,"Upper secondary","PISA-D","Cambodia",116,"Wealth & Sex & Language","5","Male",,"Yes",0.5293,0.212,0.0451,0.0062,0.0332,0.0258,0.0129,0.0051,254,98,20,2,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","1","Female",,"Yes",0.2235,0.0253,0.0013,0,0.0385,0.016,0.0051,0,36,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","1","Female",,"No",0.1355,0.0153,0,0,0.0274,0.0097,0,0,40,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","1","Male",,"Yes",0.2533,0.0611,0.005,0,0.0553,0.031,0.0111,0,26,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","1","Male",,"No",0.2395,0.0385,8e-04,0,0.042,0.0169,0.0021,0,57,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","2","Female",,"Yes",0.2288,0.025,0,0,0.0351,0.0158,0,0,56,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","2","Female",,"No",0.208,0.0218,0,0,0.0454,0.0132,0,0,43,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","2","Male",,"Yes",0.4113,0.0945,0.0055,0,0.0501,0.0301,0.0065,0,71,17,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","2","Male",,"No",0.2823,0.0552,6e-04,0,0.0506,0.0262,0.0013,0,50,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","3","Female",,"Yes",0.3151,0.0592,0.0018,0,0.0399,0.0186,0.0036,0,92,15,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","3","Female",,"No",0.1679,0.0275,9e-04,0,0.048,0.0223,0.0039,0,22,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","3","Male",,"Yes",0.4339,0.1109,0.0057,0,0.0516,0.0275,0.0074,0,101,21,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","3","Male",,"No",0.2415,0.038,0.0018,0,0.0683,0.0284,0.0032,0,43,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","4","Female",,"Yes",0.4636,0.11,0.0037,0,0.04,0.0315,0.005,0,142,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","4","Female",,"No",0.2447,0.039,0,0,0.1043,0.0709,0,0,14,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","4","Male",,"Yes",0.5334,0.1755,0.019,6e-04,0.0371,0.0288,0.0129,0.0029,149,50,5,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","4","Male",,"No",0.3022,0.0481,0.007,0,0.0623,0.0216,0.0078,0,40,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","5","Female",,"Yes",0.6198,0.2044,0.0166,0.0022,0.0572,0.0552,0.0117,0.0035,182,49,6,1,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","5","Male",,"Yes",0.6822,0.3022,0.0402,0.0037,0.0366,0.0379,0.0142,0.0036,256,122,14,1,,,,,,,,,,,,,,,,,,,,,,,,
"PRY",2015,,"Upper secondary","PISA-D","Paraguay",600,"Wealth & Sex & Language","5","Male",,"No",0.4063,0.127,0.0243,0.0029,0.0678,0.0493,0.028,0.0114,39,13,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","1","Female",,"No",0.202,0.0472,0.0077,0.001,0.0331,0.0163,0.0062,0.003,92,21,6,1,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","1","Male",,"No",0.2343,0.0616,0.009,0,0.0363,0.0183,0.008,0,96,22,3,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","2","Female",,"No",0.2076,0.0446,0.0072,0,0.0233,0.0134,0.0055,2e-04,95,23,4,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","2","Male",,"No",0.2405,0.0604,0.0056,2e-04,0.0302,0.0166,0.0054,6e-04,101,31,3,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","3","Female",,"No",0.2199,0.0662,0.0139,0.0012,0.0281,0.0162,0.0082,0.0023,105,32,6,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","3","Male",,"No",0.2517,0.0663,0.0113,8e-04,0.0306,0.0179,0.0081,0.0022,94,24,6,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","4","Female",,"No",0.2181,0.0567,0.009,3e-04,0.0271,0.013,0.0069,0.0014,101,24,3,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","4","Male",,"No",0.2641,0.092,0.0153,6e-04,0.03,0.0199,0.0088,0.0016,102,42,6,0,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","5","Female",,"Yes",0.616,0.3118,0.1094,0.0343,0.0844,0.0732,0.0519,0.0355,40,22,8,5,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","5","Female",,"No",0.33,0.1463,0.0639,0.0141,0.0313,0.0271,0.0193,0.0092,126,59,22,6,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","5","Male",,"Yes",0.5357,0.3229,0.1604,0.0425,0.0879,0.0792,0.0632,0.0385,35,21,9,2,,,,,,,,,,,,,,,,,,,,,,,,
"SEN",2015,,"Upper secondary","PISA-D","Senegal",686,"Wealth & Sex & Language","5","Male",,"No",0.3267,0.1354,0.0426,0.0146,0.0335,0.024,0.019,0.0116,126,52,18,8,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","1","Female",,"No",0.0242,0.0034,0,0,0.0096,0.0033,0,0,11,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","1","Male",,"No",0.0259,0.0018,0,0,0.0095,0.0018,0,0,19,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","2","Female",,"No",0.0615,0.0097,0.001,0,0.0201,0.0064,0.0024,0,32,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","2","Male",,"No",0.0514,0.0042,2e-04,0,0.014,0.0053,8e-04,0,24,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","3","Female",,"Yes",0.1653,0.0489,0.0036,0,0.0558,0.0327,0.009,0,13,5,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","3","Female",,"No",0.0962,0.0164,9e-04,0,0.0257,0.0076,0.0022,0,41,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","3","Male",,"No",0.0937,0.0153,7e-04,0,0.0252,0.0092,0.0019,0,38,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","4","Female",,"Yes",0.3297,0.0997,0.0042,0,0.0805,0.0522,0.0105,0,30,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","4","Female",,"No",0.1845,0.042,0.0039,0,0.044,0.0209,0.0052,0,57,10,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","4","Male",,"Yes",0.2105,0.0357,9e-04,0,0.0894,0.0301,0.0028,0,25,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","4","Male",,"No",0.1404,0.0339,0.0093,4e-04,0.0303,0.0146,0.0076,0.0019,49,13,3,1,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","5","Female",,"Yes",0.395,0.1245,0.0188,0,0.072,0.0422,0.0126,0,59,22,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","5","Female",,"No",0.1943,0.0483,0.0059,0,0.0426,0.0184,0.0067,0,56,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","5","Male",,"Yes",0.4034,0.1638,0.0235,0,0.0672,0.0546,0.0201,0,50,22,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"ZMB",2014,,"Upper secondary","PISA-D","Zambia",894,"Wealth & Sex & Language","5","Male",,"No",0.1427,0.0405,0.0028,0,0.0327,0.0139,0.0049,0,36,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Location & Language","1",,"Urban","Yes",0.4343,0.1382,0.0267,0.0027,0.0279,0.0168,0.0096,0.0025,344,99,13,1,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Location & Language","1",,"Rural","Yes",0.442,0.1629,0.0344,0.003,0.055,0.0459,0.0195,0.0032,142,58,10,1,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Location & Language","2",,"Urban","Yes",0.4952,0.1614,0.0336,0.0022,0.0241,0.0166,0.0068,0.0023,427,143,30,2,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Location & Language","2",,"Rural","Yes",0.4811,0.1334,0.0321,0.0034,0.0459,0.0339,0.015,0.0053,122,31,8,2,,,,,,,,,,,,,,,,,,,,,,,,
"ECU",2014,,"Upper secondary","PISA-D","Ecuador",218,"Wealth & Location & Language","3",,"Urban","Yes",0.573,0.2411,0.0587,0.0075,0.0223,0.0192,0.0114,0.0043,510,219,53,7,,,,,,,,,,,,,,,,,,,,,,,,
