"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Location","Language","Wealth","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","slevel1_m","slevel2_m","slevel3_m","slevel4_m","slevel1_se","slevel2_se","slevel3_se","slevel4_se","slevel1_no","slevel2_no","slevel3_no","slevel4_no"
"Moscow City, Russian Fed.",2019,4,"Primary","TIMSS","Moscow City, Russian Fed.",643001,"Language & Wealth",,,"Yes","3",0.9993,0.9696,0.8099,0.5097,0.0015,0.0082,0.0194,0.0283,720,699,585,383,,,,,,,,,,,,
"Moscow City, Russian Fed.",2019,4,"Primary","TIMSS","Moscow City, Russian Fed.",643001,"Language & Wealth",,,"Yes","4",0.9997,0.983,0.8396,0.5757,7e-04,0.0076,0.0167,0.0265,787,776,661,469,,,,,,,,,,,,
"Moscow City, Russian Fed.",2019,4,"Primary","TIMSS","Moscow City, Russian Fed.",643001,"Language & Wealth",,,"Yes","5",0.9985,0.9838,0.858,0.6045,0.002,0.0061,0.017,0.023,646,637,556,396,,,,,,,,,,,,
"Moscow City, Russian Fed.",2019,4,"Primary","TIMSS","Moscow City, Russian Fed.",643001,"Language & Wealth",,,"No","1",1,1,0.8118,0.3824,0,0,0.268,0.2988,6,6,3,2,,,,,,,,,,,,
"Northern Ireland",2019,4,"Primary","TIMSS","Northern Ireland",928,"Language & Wealth",,,"Yes","1",0.9561,0.8281,0.5252,0.2794,0.0161,0.0331,0.0389,0.0384,328,286,183,90,,,,,,,,,,,,
"Northern Ireland",2019,4,"Primary","TIMSS","Northern Ireland",928,"Language & Wealth",,,"Yes","2",0.9815,0.8801,0.6031,0.3403,0.0086,0.024,0.0336,0.0324,316,285,197,118,,,,,,,,,,,,
"Northern Ireland",2019,4,"Primary","TIMSS","Northern Ireland",928,"Language & Wealth",,,"Yes","3",0.9921,0.9361,0.7563,0.5392,0.0059,0.0181,0.0284,0.0293,348,323,274,185,,,,,,,,,,,,
"Northern Ireland",2019,4,"Primary","TIMSS","Northern Ireland",928,"Language & Wealth",,,"Yes","4",0.9876,0.9483,0.8222,0.6254,0.0072,0.0173,0.028,0.0358,375,367,315,238,,,,,,,,,,,,
"Northern Ireland",2019,4,"Primary","TIMSS","Northern Ireland",928,"Language & Wealth",,,"Yes","5",1,0.9891,0.9159,0.728,0,0.0066,0.0186,0.0371,270,267,250,207,,,,,,,,,,,,
"Northern Ireland",2019,4,"Primary","TIMSS","Northern Ireland",928,"Language & Wealth",,,"No","4",1,1,0.8689,0.6482,0,0,0.1281,0.2136,7,7,6,5,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Language & Wealth",,,"Yes","1",0.7234,0.3948,0.1317,0.0353,0.0435,0.0334,0.0213,0.0121,295,156,49,15,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Language & Wealth",,,"Yes","2",0.8953,0.6749,0.2908,0.1135,0.019,0.0342,0.0329,0.0181,334,252,112,44,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Language & Wealth",,,"Yes","3",0.9296,0.7243,0.391,0.1693,0.0171,0.0321,0.0353,0.0298,364,288,166,76,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Language & Wealth",,,"Yes","4",0.9601,0.8002,0.4553,0.208,0.0133,0.0266,0.0322,0.0272,387,327,185,82,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Language & Wealth",,,"Yes","5",0.9791,0.8752,0.546,0.3009,0.009,0.0256,0.0319,0.027,339,293,185,105,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Language & Wealth",,,"No","1",0.5216,0.1529,0.1529,0.1529,0.2549,0.1418,0.1418,0.1418,4,1,1,1,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Language & Wealth",,,"No","2",0.9817,0.6101,0.1363,0.0227,0.0605,0.2015,0.1314,0.0742,8,4,2,0,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Language & Wealth",,,"No","3",0.7261,0.5992,0.4756,0.256,0.3115,0.2915,0.2688,0.2025,7,5,5,2,,,,,,,,,,,,
"NZL",2019,4,"Primary","TIMSS","New Zealand",554,"Language & Wealth",,,"No","4",0.9608,0.6955,0.5891,0.2826,0.1257,0.194,0.2026,0.2136,7,5,4,3,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"Yes","1",0.4874,0.21,0.0686,0.0254,0.0211,0.0219,0.0147,0.0086,424,174,54,18,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"Yes","2",0.5802,0.2747,0.0829,0.0424,0.0226,0.0255,0.0184,0.0141,501,228,59,28,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"Yes","3",0.6703,0.3661,0.1476,0.0605,0.0225,0.0295,0.0227,0.0167,614,340,111,43,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"Yes","4",0.7595,0.438,0.1607,0.0693,0.0249,0.0237,0.0189,0.0149,741,416,135,52,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"Yes","5",0.8295,0.5531,0.2553,0.1219,0.0171,0.027,0.0221,0.0198,742,496,215,91,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"No","1",0.5306,0.3384,0.079,0.0115,0.1406,0.157,0.0483,0.0183,37,17,6,1,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"No","2",0.5748,0.2559,0.0867,0.0192,0.083,0.0676,0.0421,0.0208,38,14,7,1,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"No","3",0.6967,0.3647,0.1553,0.0357,0.0841,0.0791,0.0721,0.0311,55,24,11,2,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"No","4",0.7185,0.3981,0.1247,0.0509,0.0896,0.0963,0.0593,0.0459,48,22,5,2,,,,,,,,,,,,
"OMN",2019,4,"Primary","TIMSS","Oman",512,"Language & Wealth",,,"No","5",0.7395,0.4374,0.1627,0.0491,0.0876,0.0855,0.0723,0.0433,45,26,7,2,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"Yes","1",0.2952,0.066,8e-04,0,0.0602,0.0264,0.002,0,78,24,0,0,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"Yes","2",0.2731,0.0914,0.0224,0.0052,0.0638,0.0333,0.0169,0.0109,101,35,6,3,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"Yes","3",0.2403,0.0948,0.0198,0.0057,0.0546,0.0344,0.0148,0.0057,93,36,6,1,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"Yes","4",0.2897,0.081,0.0089,0,0.078,0.0291,0.0096,0,91,29,2,0,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"Yes","5",0.3657,0.1058,0.0135,0.0034,0.0874,0.0353,0.0103,0.0036,112,24,4,1,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"No","1",0.1958,0.0386,0.0058,0.0014,0.0613,0.0212,0.006,0.0019,49,14,3,1,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"No","2",0.2161,0.0696,0.0103,0.0031,0.0624,0.0347,0.0084,0.0068,31,14,1,0,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"No","3",0.2717,0.0574,0.0078,0.001,0.0804,0.0292,0.009,0.0022,36,7,1,0,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"No","4",0.3488,0.1275,0.0079,0,0.0923,0.0731,0.0165,0,29,9,1,0,,,,,,,,,,,,
"PAK",2019,4,"Primary","TIMSS","Pakistan",586,"Language & Wealth",,,"No","5",0.2132,0.0473,8e-04,0,0.1254,0.0418,0.0019,0,22,3,0,0,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"Yes","1",0.077,0.0069,2e-04,0,0.0218,0.0041,6e-04,0,43,4,0,0,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"Yes","2",0.1187,0.0253,0.0042,6e-04,0.0232,0.0079,0.0037,0.0012,67,14,3,0,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"Yes","3",0.1679,0.0435,0.0025,4e-04,0.0235,0.0121,0.0028,0.0014,89,27,1,0,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"Yes","4",0.2865,0.086,0.0144,0.0041,0.0331,0.0183,0.0063,0.0033,173,54,8,4,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"Yes","5",0.5317,0.2147,0.0411,0.0081,0.0359,0.0282,0.0091,0.004,367,137,26,5,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"No","1",0.0674,0.0071,0,0,0.0208,0.0056,0,0,18,1,0,0,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"No","2",0.0802,0.0053,0,0,0.0236,0.0048,0,0,21,3,0,0,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"No","3",0.1317,0.0255,0.0012,0,0.0259,0.012,0.0027,0,41,11,1,0,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"No","4",0.2022,0.0449,0.0049,0,0.043,0.0164,0.0074,0,64,14,1,0,,,,,,,,,,,,
"PHL",2019,4,"Primary","TIMSS","Philippines",608,"Language & Wealth",,,"No","5",0.3744,0.1187,0.0154,0,0.0573,0.037,0.0184,0,67,21,1,0,,,,,,,,,,,,
"POL",2019,4,"Primary","TIMSS","Poland",616,"Language & Wealth",,,"Yes","1",0.8662,0.5646,0.1826,0.0569,0.0158,0.0232,0.0187,0.0093,740,489,163,47,,,,,,,,,,,,
"POL",2019,4,"Primary","TIMSS","Poland",616,"Language & Wealth",,,"Yes","2",0.9257,0.6829,0.2806,0.0904,0.012,0.0221,0.0224,0.0142,792,597,236,74,,,,,,,,,,,,
"POL",2019,4,"Primary","TIMSS","Poland",616,"Language & Wealth",,,"Yes","3",0.965,0.7887,0.3981,0.1533,0.0084,0.0232,0.0235,0.0161,806,670,344,133,,,,,,,,,,,,
"POL",2019,4,"Primary","TIMSS","Poland",616,"Language & Wealth",,,"Yes","4",0.9816,0.8651,0.4764,0.2142,0.0055,0.0162,0.0211,0.0197,831,737,406,170,,,,,,,,,,,,
"POL",2019,4,"Primary","TIMSS","Poland",616,"Language & Wealth",,,"Yes","5",0.9861,0.9108,0.6143,0.3245,0.0049,0.0178,0.0295,0.0301,835,778,524,283,,,,,,,,,,,,
"PRT",2019,4,"Primary","TIMSS","Portugal",620,"Language & Wealth",,,"Yes","1",0.8788,0.5915,0.2551,0.0998,0.0287,0.042,0.0363,0.0206,240,162,72,26,,,,,,,,,,,,
"PRT",2019,4,"Primary","TIMSS","Portugal",620,"Language & Wealth",,,"Yes","2",0.9529,0.7375,0.3767,0.1428,0.0172,0.0285,0.0384,0.0248,255,196,104,39,,,,,,,,,,,,
"PRT",2019,4,"Primary","TIMSS","Portugal",620,"Language & Wealth",,,"Yes","3",0.9696,0.8026,0.4208,0.202,0.013,0.0313,0.0351,0.029,258,216,114,57,,,,,,,,,,,,
"PRT",2019,4,"Primary","TIMSS","Portugal",620,"Language & Wealth",,,"Yes","4",0.9908,0.9147,0.6196,0.3277,0.0069,0.0214,0.0418,0.0383,272,248,166,96,,,,,,,,,,,,
"PRT",2019,4,"Primary","TIMSS","Portugal",620,"Language & Wealth",,,"Yes","5",0.996,0.9495,0.741,0.4691,0.007,0.0172,0.0362,0.0396,253,241,186,118,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"Yes","1",0.505,0.2273,0.0731,0.0188,0.0551,0.0382,0.0271,0.0138,97,45,14,5,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"Yes","2",0.682,0.3701,0.1195,0.0275,0.0566,0.053,0.0396,0.0251,124,62,17,1,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"Yes","3",0.7977,0.5219,0.1927,0.0439,0.0504,0.0563,0.0513,0.0233,148,95,27,8,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"Yes","4",0.8989,0.6714,0.2676,0.0981,0.0362,0.054,0.06,0.0426,173,130,48,21,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"Yes","5",0.8878,0.7095,0.3964,0.177,0.0309,0.0522,0.0762,0.0473,151,119,70,26,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"No","1",0.1399,0.0289,0,0,0.1554,0.0944,0,0,1,0,0,0,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"No","2",0.6333,0.3035,0.0342,0,0.2026,0.1485,0.0745,0,8,3,1,0,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"No","3",0.7266,0.3241,0.0339,0,0.2164,0.1965,0.0733,0,7,4,1,0,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"No","4",0.5454,0.3267,0.0963,0.0531,0.2538,0.1933,0.0728,0.0517,10,8,3,2,,,,,,,,,,,,
"QAT",2019,4,"Primary","TIMSS","Qatar",634,"Language & Wealth",,,"No","5",0.879,0.5848,0.2266,0.047,0.1087,0.2877,0.2121,0.0729,8,5,4,2,,,,,,,,,,,,
"RUS",2019,4,"Primary","TIMSS","Russian Federation",643,"Language & Wealth",,,"Yes","1",0.9729,0.7787,0.3741,0.1379,0.0127,0.0327,0.0464,0.0312,378,302,146,52,,,,,,,,,,,,
"RUS",2019,4,"Primary","TIMSS","Russian Federation",643,"Language & Wealth",,,"Yes","2",0.9917,0.8659,0.4529,0.1715,0.008,0.0275,0.041,0.0286,378,344,184,71,,,,,,,,,,,,
"RUS",2019,4,"Primary","TIMSS","Russian Federation",643,"Language & Wealth",,,"Yes","3",0.9976,0.9136,0.5758,0.303,0.0056,0.0165,0.035,0.0322,394,363,229,126,,,,,,,,,,,,
"RUS",2019,4,"Primary","TIMSS","Russian Federation",643,"Language & Wealth",,,"Yes","4",0.9971,0.942,0.6923,0.3828,0.0049,0.0144,0.0399,0.0386,421,398,280,156,,,,,,,,,,,,
"RUS",2019,4,"Primary","TIMSS","Russian Federation",643,"Language & Wealth",,,"Yes","5",0.9994,0.9764,0.7799,0.4853,9e-04,0.0097,0.032,0.036,358,348,274,176,,,,,,,,,,,,
"RUS",2019,4,"Primary","TIMSS","Russian Federation",643,"Language & Wealth",,,"No","1",0.9293,0.7426,0.2985,0.1827,0.0974,0.1492,0.0931,0.0619,12,9,3,2,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"Yes","1",0.4288,0.192,0.0472,0.0158,0.0291,0.0233,0.0136,0.0082,263,113,27,7,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"Yes","2",0.5216,0.2189,0.0446,0.0121,0.0244,0.0247,0.0133,0.0058,323,140,33,9,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"Yes","3",0.5597,0.2553,0.0646,0.0192,0.0266,0.0269,0.0124,0.0063,360,172,48,13,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"Yes","4",0.6443,0.3019,0.077,0.0228,0.0255,0.0279,0.013,0.0099,413,190,60,24,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"Yes","5",0.7349,0.4305,0.1384,0.0397,0.0246,0.0287,0.0212,0.0094,472,301,99,31,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"No","1",0.3857,0.1739,0.0679,0.0064,0.0945,0.0615,0.0503,0.0201,23,8,3,0,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"No","2",0.322,0.1267,0.0452,0.0161,0.0801,0.0655,0.0355,0.0277,13,5,2,1,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"No","3",0.5533,0.2762,0.058,0.0143,0.1084,0.0852,0.046,0.0286,25,11,2,1,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"No","4",0.6197,0.3009,0.0947,0.0312,0.0935,0.0906,0.0622,0.0477,31,17,6,0,,,,,,,,,,,,
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Language & Wealth",,,"No","5",0.6819,0.402,0.1871,0.0784,0.0874,0.0981,0.0855,0.065,26,16,8,5,,,,,,,,,,,,
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Language & Wealth",,,"Yes","1",0.9714,0.89,0.6922,0.4682,0.0203,0.0333,0.0355,0.0402,327,307,246,174,,,,,,,,,,,,
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Language & Wealth",,,"Yes","2",0.9956,0.9485,0.8161,0.6121,0.0069,0.0257,0.0333,0.047,353,342,301,235,,,,,,,,,,,,
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Language & Wealth",,,"Yes","3",1,0.9761,0.8908,0.7255,0,0.0126,0.0391,0.0396,391,384,359,306,,,,,,,,,,,,
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Language & Wealth",,,"Yes","4",1,0.9957,0.9525,0.8345,0,0.0056,0.0158,0.0324,281,280,270,240,,,,,,,,,,,,
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Language & Wealth",,,"Yes","5",0.9992,0.9874,0.9311,0.8804,0.0028,0.0119,0.0265,0.0302,334,332,319,299,,,,,,,,,,,,
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Language & Wealth",,,"No","1",1,0.9804,0.4737,0.2248,0,0.0439,0.2059,0.1369,13,12,7,5,,,,,,,,,,,,
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Language & Wealth",,,"Yes","1",0.7557,0.4444,0.1407,0.0362,0.031,0.0267,0.0207,0.0086,590,349,117,30,,,,,,,,,,,,
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Language & Wealth",,,"Yes","2",0.9153,0.6665,0.2631,0.0739,0.0152,0.0263,0.0226,0.0129,765,550,230,69,,,,,,,,,,,,
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Language & Wealth",,,"Yes","3",0.9499,0.7545,0.3356,0.124,0.0117,0.0281,0.0249,0.0155,670,550,249,92,,,,,,,,,,,,
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Language & Wealth",,,"Yes","4",0.9785,0.8346,0.4376,0.1814,0.0071,0.0179,0.0297,0.0195,758,654,316,145,,,,,,,,,,,,
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Language & Wealth",,,"Yes","5",0.9907,0.9328,0.6311,0.3294,0.0042,0.013,0.024,0.0253,762,724,490,256,,,,,,,,,,,,
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Language & Wealth",,,"No","1",0.5124,0.1416,0,0,0.2424,0.1379,0,0,5,0,0,0,,,,,,,,,,,,
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Language & Wealth",,,"Yes","1",0.7761,0.4545,0.1644,0.0346,0.0409,0.0517,0.0311,0.0249,208,113,32,3,,,,,,,,,,,,
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Language & Wealth",,,"Yes","2",0.9288,0.6309,0.1978,0.0436,0.024,0.0418,0.0354,0.0173,278,185,51,14,,,,,,,,,,,,
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Language & Wealth",,,"Yes","3",0.9811,0.7738,0.3071,0.0835,0.0097,0.0354,0.0461,0.025,261,206,70,21,,,,,,,,,,,,
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Language & Wealth",,,"Yes","4",0.9891,0.8822,0.4144,0.1358,0.0107,0.0214,0.0379,0.0269,303,271,126,37,,,,,,,,,,,,
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Language & Wealth",,,"Yes","5",0.9885,0.9149,0.6006,0.2559,0.0093,0.027,0.058,0.0384,248,226,150,63,,,,,,,,,,,,
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Language & Wealth",,,"No","1",0.4396,0.286,0.054,0,0.2031,0.2347,0.1698,0,3,1,0,0,,,,,,,,,,,,
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Language & Wealth",,,"Yes","1",0.9233,0.6574,0.2444,0.0661,0.0279,0.05,0.0477,0.0329,214,152,49,13,,,,,,,,,,,,
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Language & Wealth",,,"Yes","2",0.9624,0.7423,0.3595,0.1164,0.0249,0.0337,0.0427,0.0295,241,184,80,27,,,,,,,,,,,,
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Language & Wealth",,,"Yes","3",0.9787,0.8303,0.4476,0.1717,0.0134,0.0363,0.0407,0.0362,262,230,126,52,,,,,,,,,,,,
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Language & Wealth",,,"Yes","4",0.9877,0.8958,0.5228,0.2132,0.0076,0.032,0.0519,0.0338,220,198,128,54,,,,,,,,,,,,
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Language & Wealth",,,"Yes","5",0.9837,0.8819,0.552,0.2627,0.0111,0.0312,0.0478,0.0491,234,216,138,59,,,,,,,,,,,,
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Language & Wealth",,,"No","1",0.8561,0.6025,0.0988,0.0385,0.1667,0.215,0.1263,0.0545,8,5,1,1,,,,,,,,,,,,
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Language & Wealth",,,"Yes","1",0.7062,0.4204,0.1738,0.0755,0.0316,0.0341,0.0271,0.016,469,271,97,52,,,,,,,,,,,,
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Language & Wealth",,,"Yes","2",0.8434,0.5937,0.2821,0.1135,0.0186,0.0245,0.0224,0.0142,589,408,205,75,,,,,,,,,,,,
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Language & Wealth",,,"Yes","3",0.9244,0.7611,0.4237,0.2059,0.0147,0.0273,0.0302,0.0243,665,548,292,141,,,,,,,,,,,,
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Language & Wealth",,,"Yes","4",0.9731,0.8421,0.5197,0.274,0.01,0.0208,0.0259,0.0254,702,616,373,196,,,,,,,,,,,,
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Language & Wealth",,,"Yes","5",0.9972,0.9528,0.7754,0.5222,0.003,0.0106,0.0229,0.0278,722,685,566,388,,,,,,,,,,,,
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Language & Wealth",,,"No","1",0.4036,0.1983,0.0444,0.0113,0.0781,0.0547,0.035,0.0181,26,12,2,1,,,,,,,,,,,,
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Language & Wealth",,,"No","2",0.5629,0.2557,0.0653,0.0178,0.1633,0.1124,0.0574,0.0391,14,5,2,0,,,,,,,,,,,,
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Language & Wealth",,,"No","3",0.7156,0.2422,0.0807,0,0.2212,0.2859,0.142,0,5,2,1,0,,,,,,,,,,,,
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Language & Wealth",,,"Yes","1",0.9933,0.9032,0.6106,0.3348,0.0069,0.0209,0.0352,0.0309,308,278,182,102,,,,,,,,,,,,
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Language & Wealth",,,"Yes","2",0.9994,0.9578,0.7211,0.4741,0.0021,0.0145,0.0308,0.0405,315,303,222,156,,,,,,,,,,,,
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Language & Wealth",,,"Yes","3",1,0.9925,0.8185,0.5537,0,0.0089,0.0361,0.039,308,303,256,172,,,,,,,,,,,,
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Language & Wealth",,,"Yes","4",1,0.9929,0.8662,0.6371,0,0.0078,0.0267,0.0351,300,297,256,189,,,,,,,,,,,,
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Language & Wealth",,,"Yes","5",1,0.9989,0.9402,0.7724,0,0.0032,0.0145,0.0316,310,308,290,231,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Language & Wealth",,,"Yes","1",0.2914,0.0632,0.0081,0.0014,0.0276,0.0133,0.0041,0.0012,271,64,8,2,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Language & Wealth",,,"Yes","2",0.3269,0.1055,0.0207,0.005,0.0218,0.0154,0.007,0.0034,343,98,22,5,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Language & Wealth",,,"Yes","3",0.4055,0.1413,0.0231,0.0071,0.0205,0.0146,0.007,0.0048,436,143,21,4,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Language & Wealth",,,"Yes","4",0.5286,0.2376,0.0643,0.0166,0.023,0.0231,0.0112,0.008,547,242,64,16,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Language & Wealth",,,"Yes","5",0.8179,0.5678,0.2642,0.1173,0.0179,0.0232,0.0249,0.0192,910,609,271,124,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Language & Wealth",,,"No","1",0.0933,0.0094,0,0,0.0313,0.0108,0,0,14,4,0,0,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Language & Wealth",,,"No","2",0.0859,0.0223,0,0,0.0393,0.0173,0,0,8,2,0,0,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Language & Wealth",,,"No","3",0.1455,0.0192,8e-04,0,0.0409,0.0106,0.0025,0,14,4,1,0,,,,,,,,,,,,
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Language & Wealth",,,"No","4",0.1812,0.0213,0,0,0.0554,0.0208,0,0,16,2,0,0,,,,,,,,,,,,
