year,category,disability,sex,iso_code,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,overage2plus_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,edu0_prim_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,overage2plus_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,edu0_prim_no,survey,preschool_3_m,preschool_3_no,attend_higher_1822_m,comp_higher_2yrs_2529_m,comp_higher_4yrs_2529_m,comp_higher_4yrs_3034_m,comp_lowsec_1524_m,comp_prim_1524_m,comp_upsec_2029_m,edu4_2024_m,eduyears_2024_m,literacy_1524_m,attend_higher_1822_no,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_no,comp_lowsec_1524_no,comp_prim_1524_no,comp_upsec_2029_no,edu4_2024_no,eduyears_2024_no,literacy_1524_no,hh_edu_head,preschool_1ybefore_m,preschool_1ybefore_no,country
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,DZA,.96453655,,,.42570657,.02871836,.097892247,.13513374,.14470603,49,19,0,227,123,63,55,86,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Algeria
2019,Household education,,,DZA,.98032349,.85239136,.65684623,.57490879,.019948637,.020051755,.12541878,.011927539,923,711,619,4831,1987,1356,831,1528,MICS,.94257778,141,.43860194,.44019219,.30938649,.16901542,.81684905,.98129708,.66830379,.0051672622,12.11394,.82275403,1071,792,792,802,2309,2309,1810,1007,1007,2313,Completed upper secondary,.74978638,328,Algeria
2019,Disability & Sex,At least one functional difficulty,Male,DZA,,,,,,,,,,,,,,,,,MICS,,5,,,,,,,,,,,,,,,,,,,,,,,,Algeria
2019,Household education,,,DZA,.88197428,.56509924,.33512235,.58563852,.047140107,.090299852,.32704559,.026754845,1718,1681,1600,6812,2754,2297,1687,2225,MICS,.92321366,67,.19428748,.26275399,.18288516,.30090278,.51613992,.90659177,.3169235,.022355547,9.795928,.56886512,2520,2194,2194,1525,5447,5447,4852,2444,2444,5456,Not completed primary,.77778894,285,Algeria
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,DZA,,,,,,,,,,,,,,,,,MICS,,4,,,,,,,,,,,,,,,,,,,,,,,,Algeria
2019,Household education,,,DZA,.97640997,.79112971,.5194658,.56462014,.023407372,.031387918,.13513613,.0050503178,903,734,643,4649,2010,1327,811,1464,MICS,.93238068,170,.33898473,.27838871,.16394357,.13794331,.73278588,.97727263,.46153405,.0058571063,11.212379,.74703747,1120,956,956,966,2369,2369,2021,1050,1050,2380,Completed lower secondary,.78312588,330,Algeria
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,DZA,.83800966,,,.43368366,.012568245,.067484491,.24948458,.16646211,71,10,0,248,112,91,61,95,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Algeria
2018,Disability & Sex,At least one functional difficulty,Male,DZA,.92455453,.66893166,,.44764861,.0027487841,.050811335,.31713098,.036471527,429,128,0,1627,748,554,447,565,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Algeria
2019,Household education,,,DZA,.95539492,.67489666,.39307004,.52125835,.027409827,.047875728,.25977403,.0082451664,1940,1462,1358,9216,4314,2872,1580,3097,MICS,.93287557,313,.2328548,.21551839,.14108013,.12728776,.60436642,.96470875,.3647922,.011409556,10.11138,.62334746,2257,2308,2308,2367,4885,4885,4671,2321,2321,4886,Completed primary,.81928384,707,Algeria
2018,Disability & Sex,At least one functional difficulty,Female,DZA,.96909332,.79436517,,.47328201,.010348903,.053522889,.19410385,.039493047,275,91,0,1171,570,368,290,418,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Algeria
2019,Household education,,,DZA,.98841232,.90525591,.82156175,.59608692,.014278026,.0088229747,.047003016,.0078883115,420,332,301,2337,954,585,366,677,MICS,.97667277,101,.60600549,.64548439,.41932362,.53918564,.89882112,.99214762,.78679168,0,13.142121,.90533531,522,524,524,592,1085,1085,1020,496,496,1089,Completed post-secondary or higher,.72740453,176,Algeria
2018,Disability,"At least one sensory, physical or intellectual difficulty",,DZA,.89285594,,,.43010491,.020402607,.079738304,.19912252,.15650707,120,29,0,475,235,154,116,181,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Algeria
2018,Disability,At least one functional difficulty,,DZA,.9426474,.72391111,,.45824224,.0058822674,.051906336,.26708081,.037710194,704,219,0,2798,1318,922,737,983,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Algeria
2019,Disability,"At least one sensory, physical or intellectual difficulty",,DZA,,.57542306,.43835598,,,,,,,40,54,,,,,,MICS,,8,.31964684,.32989976,.25709084,.2698912,.56871963,.85151708,.37509194,.013837535,10.249822,.63996172,76,113,113,141,128,128,201,76,76,128,,,,Algeria
2019,Disability & Sex,At least one functional difficulty,Female,DZA,,.61979145,.46098208,,,,,,,53,76,,,,,,MICS,,8,.30067647,.31774443,.22672194,.2431965,.64468545,.89018077,.3933942,.0086416127,10.929054,.70228684,110,145,145,173,172,172,264,105,105,172,,,,Algeria
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,DZA,,.57542306,.43835598,,,,,,,40,54,,,,,,MICS,,4,.31964684,.32989976,.25709084,.2698912,.56871963,.85151708,.37509194,.013837535,10.249822,.63996172,76,113,113,141,128,128,201,76,76,128,,,,Algeria
2019,Disability,At least one functional difficulty,,DZA,,.61979145,.46098208,,,,,,,53,76,,,,,,MICS,,13,.30067647,.31774443,.22672194,.2431965,.64468545,.89018077,.3933942,.0086416127,10.929054,.70228684,110,145,145,173,172,172,264,105,105,172,,,,Algeria
2021,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,FJI,,,,,,,,,0,0,0,23,0,0,0,0,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Fiji
2021,Household education,,,FJI,.9867872,.95413142,.96664822,.1608184,.019416805,.048875231,.27318889,.0047349823,214,169,179,847,549,327,195,383,MICS,.92432863,58,.36756682,.63611722,.2315376,.2302804,.96405691,.98522818,.96182716,.0028990649,15.039262,.98791736,291,310,310,312,607,607,607,294,294,599,Completed upper secondary,.45485196,101,Fiji
2021,Disability,"At least one sensory, physical or intellectual difficulty",,FJI,,,,0,,,,,0,0,0,61,0,0,0,0,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Fiji
2021,Household education,,,FJI,1,.85220772,.92859071,.10441574,.035960589,.083384611,.64850068,0,41,49,50,198,146,68,40,103,MICS,,12,.17484628,.6954875,.34715578,.2822648,.89042902,.96366215,.84349972,0,15.243274,.9284184,82,98,98,75,161,161,182,83,83,155,Not completed primary,,26,Fiji
2021,Disability,At least one functional difficulty,,FJI,,,,0,,,,,0,0,0,175,0,0,0,0,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Fiji
2021,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,FJI,,,,0,,,,,0,0,0,38,0,0,0,0,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Fiji
2021,Disability & Sex,At least one functional difficulty,Male,FJI,,,,0,,,,,0,0,0,109,0,0,0,0,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Fiji
2021,Disability & Sex,At least one functional difficulty,Female,FJI,,,,0,,,,,0,0,0,66,0,0,0,0,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Fiji
2021,Household education,,,FJI,.99064201,.92536074,.92324173,.10286357,.009470325,.057291321,.3362301,0,175,125,151,589,397,255,158,269,MICS,,28,.19388665,.68259251,.33581394,.29513615,.92107332,.97905213,.8815127,.0038264408,15.271044,.94827205,216,239,239,168,496,496,473,232,232,491,Completed primary,.34260234,59,Fiji
2021,Household education,,,FJI,.98501647,.98022521,.97069436,.12795715,.017783398,.024046805,.2123304,.0024785902,441,296,334,1635,1136,612,375,722,MICS,.92379481,101,.29791167,.82620764,.43345532,.45978525,.97656524,.98935014,.96208066,.0015806425,15.848167,.99052948,518,597,597,571,1144,1144,1114,522,522,1139,Completed post-secondary or higher,.3962723,157,Fiji
2018,Household education,,,GEO,,,,,,,,,2,,,4,3,1,1,2,MICS,,1,,,,,,,,,,,6,3,3,,1,1,3,,,1,Completed primary,,,Georgia
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,GEO,,,,,,,,,10,0,0,23,24,9,7,15,MICS,,4,,.94217592,.62497526,.63105625,.96527523,.96527523,.984115,,,.97502685,23,59,59,52,33,33,82,21,21,33,,,,Georgia
2018,Disability & Sex,At least one functional difficulty,Female,GEO,1,,,.023605058,0,,.075846411,.025472783,34,8,0,70,75,23,32,42,MICS,,5,.28833818,.89894235,.57518774,.67047572,.97211689,.97211689,.96584862,0,16.686258,.98856014,36,83,83,82,85,85,119,34,34,87,,,,Georgia
2018,Disability,"At least one sensory, physical or intellectual difficulty",,GEO,,,,.0037917902,.0037154402,,,.15024154,21,6,0,60,65,21,22,37,MICS,,10,,.94530952,.63922179,.66384017,.97748166,.97748166,.95652515,0,16.337389,.98380542,29,76,76,65,46,46,111,33,33,46,,,,Georgia
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,GEO,,,,0,.0063958978,,,,11,6,0,37,41,12,15,22,MICS,,6,,,,,,,,,,,6,17,17,13,13,13,29,12,12,13,,,,Georgia
2018,Household education,,,GEO,.99901646,.99137014,.9509992,.22110324,.018861895,.011104589,.10186405,.0041569732,696,572,621,1979,1709,680,697,1015,MICS,.96744698,524,.37306714,.93353784,.72901887,.76244962,.99461538,.99583697,.97511232,.0020400253,16.451576,.99772948,957,1439,1439,1358,2100,2100,2494,1055,1055,1880,Completed post-secondary or higher,.9691059,266,Georgia
2018,Disability & Sex,At least one functional difficulty,Male,GEO,1,,,0,.0029805738,0,.24526551,.10699212,34,15,0,86,92,31,40,45,MICS,,8,,,,,.9888435,.9888435,.87134933,,,1,7,20,20,17,57,57,35,15,15,53,,,,Georgia
2018,Household education,,,GEO,,,,.082115337,.014125917,,,,23,17,16,44,40,12,24,24,MICS,,15,.027826864,.62237257,.39987621,.38240492,1,1,.78182423,,,1,27,31,31,40,64,64,60,29,29,56,Completed lower secondary,,7,Georgia
2018,Disability,At least one functional difficulty,,GEO,1,,,.011647308,.0014916253,0,.17344876,.064356223,68,23,0,156,167,54,72,87,MICS,,13,.27177086,.90658516,.59529108,.68955976,.97960413,.97960413,.94779235,0,16.21826,.99328035,43,103,103,99,142,142,154,49,49,140,,,,Georgia
2018,Household education,,,GEO,1,1,.97205251,.37000775,.018868508,.0057574827,.16827761,.0032169002,162,161,199,406,320,161,166,202,MICS,.98567283,122,.40407917,.85193491,.5198552,.53660554,.99905562,.99905562,.97414237,0,16.03507,1,300,380,380,301,604,604,713,333,333,557,Completed upper secondary,1,50,Georgia
2018,Household education,,,GEO,,,,.17421469,.0056657451,,,,9,13,8,37,35,7,11,16,MICS,,9,.07169383,,,.54260945,1,1,.91119361,,,1,16,29,29,33,37,37,46,18,18,34,Not completed primary,,12,Georgia
2017,Disability & Sex,At least one functional difficulty,Female,GHA,,.36901903,.23935337,,,,,,,96,100,,,,,,MICS,.92138833,96,.0080536306,.26076621,.23704122,.34946555,.3391034,.79137772,.15657593,.053897303,8.6750727,.40050006,137,134,134,145,355,355,285,135,135,362,,,,Ghana
2018,Disability,At least one functional difficulty,,GHA,.81942767,.81201315,,.42664576,.020317627,.083340511,.15683492,.059125792,284,58,0,1371,871,374,279,564,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Ghana
2017,Household education,,,GHA,.60641181,.30063722,.23393904,.51462334,.26726013,.11801774,.28071383,.16790593,1536,1150,842,6074,3950,1842,1801,2579,MICS,.96156752,901,.013871051,.42134023,.39370489,.51930088,.28392205,.67586082,.19344287,.095141262,8.2795982,.35896754,1327,976,976,895,3425,3425,2281,1065,1065,3455,Not completed primary,.92968923,564,Ghana
2017,Household education,,,GHA,.7085349,.40421003,.30134326,.47043011,.15595756,.031068183,.31163156,.053205959,279,269,242,1312,800,343,353,498,MICS,.97341216,236,.039871946,.088870078,.079822853,.16591404,.38877928,.87217993,.19702058,.0042633987,8.8524542,.43098032,403,299,299,242,829,829,695,379,379,834,Completed primary,.93528062,126,Ghana
2017,Household education,,,GHA,.81667346,.64549148,.39260685,.48047963,.13701783,.026243702,.19800168,.031793285,841,658,579,3735,2059,997,957,1332,MICS,.98898524,657,.036059972,.14574595,.10546956,.05963178,.60398537,.92205906,.30169836,.014423908,9.9750433,.60899901,975,729,729,699,2117,2117,1683,928,928,2116,Completed lower secondary,.94040155,337,Ghana
2017,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,GHA,,,,,,,,,,4,10,,,,,,MICS,,13,,,,,,,.13730553,,,,13,13,13,13,22,22,31,17,17,20,,,,Ghana
2017,Household education,,,GHA,.80977124,.69433779,.52114969,.4699221,.11734324,.034542836,.22366947,.030569959,248,231,271,1239,664,310,311,429,MICS,.97714329,245,.066741832,.14387941,.067845717,.068203449,.69293302,.9213835,.64913118,.0038426744,10.750511,.72650701,413,400,400,385,860,860,874,467,467,847,Completed upper secondary,.88245034,113,Ghana
2017,Household education,,,GHA,.7854709,.84295446,.72501254,.44712672,.067580424,.018537208,.23173235,.017465852,150,146,136,877,466,199,187,299,MICS,.99365979,188,.1564367,.54545575,.17416665,.43708429,.78177923,.93613911,.75857097,0,11.979761,.79695755,239,277,277,290,487,487,525,244,244,486,Completed post-secondary or higher,.8602314,70,Ghana
2018,Disability,"At least one sensory, physical or intellectual difficulty",,GHA,.77848053,,,.34459651,.023562904,.108696,.21120684,.065679766,94,14,0,471,325,119,81,199,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Ghana
2017,Disability,"At least one sensory, physical or intellectual difficulty",,GHA,,.28466368,.1744114,,,,,,,39,64,,,,,,MICS,,26,.014892569,.2749851,.23786734,.39254892,.48579678,.86844015,.15529223,.036350273,9.0344019,.47367221,87,85,85,91,145,145,191,96,96,141,,,,Ghana
2017,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,GHA,,.33106166,.1828284,,,,,,,35,54,,,,,,MICS,,13,.01318175,.31204656,.26992622,.43013766,.49550915,.86533111,.15892857,.013815901,9.0890541,.48400238,74,72,72,78,123,123,160,79,79,121,,,,Ghana
2018,Disability & Sex,At least one functional difficulty,Male,GHA,.80456442,.79988611,,.40414295,.016684929,.091623642,.13400047,.069675229,137,34,0,708,458,194,141,308,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Ghana
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,GHA,.77717721,,,.37345314,.015895739,.049896847,.095231697,.08469817,48,10,0,248,173,56,47,106,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Ghana
2018,Disability & Sex,At least one functional difficulty,Female,GHA,.82966292,,,.44973829,.024513425,.074930511,.17565829,.04750669,147,24,0,663,413,180,138,256,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Ghana
2017,Disability,At least one functional difficulty,,GHA,,.30556238,.16068648,,,,,,,157,132,,,,,,MICS,.93399161,211,.0074734143,.21694048,.19828624,.30636308,.30503112,.79130667,.16882128,.072219908,8.5625124,.35353273,180,163,163,177,569,569,363,181,181,576,,,,Ghana
2017,Disability & Sex,At least one functional difficulty,Male,GHA,,.23191307,.045935318,,,,,,,61,32,,,,,,MICS,.94406927,115,.0063926056,,,.082526542,.26175204,.79121631,.19899155,.10304505,8.3731451,.29193926,43,29,29,32,214,214,78,46,46,214,,,,Ghana
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,GHA,.77959079,,,.31479916,.032719873,.14448845,.36004019,.044363782,46,4,0,223,152,63,34,93,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Ghana
2018,Household education,,,GMB,.5796423,.3596867,.19899847,.3756175,.25321242,.31907403,.49169818,.21415423,1712,1367,1117,7072,5477,2073,1571,3254,MICS,.80883509,723,.060262445,.53837049,.50831825,.63996583,.30456811,.53958982,.16550717,.084284723,8.9484463,.42225361,1244,1713,1713,1494,4577,4577,3588,1041,1041,4601,Not completed primary,.37686408,794,Gambia
2018,Disability & Sex,At least one functional difficulty,Male,GMB,,,,.20649214,.083367638,.27282223,,.15246457,16,0,0,162,106,31,7,64,MICS,,24,,,,,.22539391,.4308379,.17224368,,,.36636683,15,29,29,20,68,68,51,12,12,72,,,,Gambia
2018,Household education,,,GMB,.73862016,.38890612,.15889297,.43698651,.16767532,.13338189,.463229,.088297017,163,159,148,783,480,187,178,270,MICS,.84808135,102,.060647193,.23679394,.1853219,.23851909,.40592274,.71396011,.19048521,.060250007,8.9038067,.4863286,199,197,197,184,513,513,437,184,184,508,Completed primary,.39349505,82,Gambia
2018,Disability,At least one functional difficulty,,GMB,.50966644,,,.20124553,.063615911,.18231028,,.14304182,34,0,0,334,218,63,17,126,MICS,.921148,41,.047084518,.46551889,.40632141,.56616557,.25319996,.50132632,.1000129,.043116014,8.2831411,.32710555,46,82,82,73,165,165,151,36,36,172,,,,Gambia
2018,Household education,,,GMB,.9149462,.8259297,.58407724,.49920651,.055866078,.099297591,.13890378,.057013374,130,106,114,704,366,128,128,232,MICS,.92920864,60,.18677041,.4359327,.15465498,.29511002,.69772029,.90298295,.59892058,.020065235,11.249928,.7223137,170,150,150,136,394,394,341,169,169,385,Completed post-secondary or higher,.30837029,57,Gambia
2018,Household education,,,GMB,.77566427,.66365862,.39888978,.46004063,.17923532,.26487166,.28090578,.13271597,225,215,210,1086,623,247,222,365,MICS,.87697917,134,.1466928,.33312637,.16011032,.14680947,.5742473,.80496466,.49997765,.015330064,10.433752,.59064484,297,337,337,304,717,717,686,298,298,721,Completed upper secondary,.45929462,118,Gambia
2018,Disability & Sex,At least one functional difficulty,Female,GMB,,,,.19492339,.03880883,.036359113,,.12892002,18,0,0,172,112,32,10,62,MICS,,17,.065239564,.46017459,.42242634,.60083675,.27578095,.55856919,.056220971,,,.29461119,31,53,53,53,97,97,100,24,24,100,,,,Gambia
2018,Household education,,,GMB,.80861998,.62314302,.32972285,.46503609,.14990406,.14156067,.2700381,.094133414,188,143,160,835,502,176,185,303,MICS,.91261709,93,.11679717,.30147263,.20059706,.29008448,.54359967,.7759316,.3075127,.020866813,9.8620348,.59389055,211,228,228,228,538,538,475,213,213,532,Completed lower secondary,.59967679,83,Gambia
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,GMB,,,,.15603653,.063441984,,,,9,0,0,66,40,12,5,22,MICS,,4,,,,,.33494133,.62998772,.067120396,,,.32127836,19,20,20,23,43,43,49,14,14,39,,,,Gambia
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,GMB,,,,.12499759,.16823685,,,,4,0,0,65,43,9,1,22,MICS,,,,,,,,,.2293946,,,,7,19,19,6,23,23,32,6,6,23,,,,Gambia
2018,Disability,"At least one sensory, physical or intellectual difficulty",,GMB,,,,.13671145,.1358906,,,.16014767,13,0,0,131,83,21,6,44,MICS,,4,,.44450819,.33782518,,.32883945,.55397373,.13872266,,,.35483146,26,39,39,29,66,66,81,20,20,62,,,,Gambia
2018,Disability,At least one functional difficulty,,GNB,.35267386,,,,.14352982,.16541725,.26282477,.19401081,119,10,0,0,341,143,78,232,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2019,Disability,At least one functional difficulty,,GNB,,,,,,,,,,,,,,,,,MICS,,16,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2018,Disability & Sex,At least one functional difficulty,Female,GNB,.37259069,,,,.12837391,.1913389,.34608382,.23587103,63,7,0,0,187,74,46,118,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2019,Household education,,,GNB,.17577404,.089959525,.074167036,0,.38259292,.28448659,.37750381,.3838523,1575,1356,1133,5954,4451,1878,1350,2667,MICS,.84692734,248,.010481145,.47009459,.4667713,.57608259,.12544678,.33114707,.076721974,.21065751,6.5512938,.54508001,1610,1573,1573,1334,4242,4242,3508,1370,1370,4258,Not completed primary,.59096694,321,Guinea-Bissau
2019,Household education,,,GNB,.61388874,.38225481,.25968912,0,.10610571,.16786541,.21099576,.096497998,139,125,117,601,315,142,134,218,MICS,.99438447,65,.047556624,.07015039,.042594288,.10591074,.4580034,.8096,.42287329,.041808289,9.4604454,.76761359,200,184,184,149,434,434,395,202,202,427,Completed upper secondary,.55428779,52,Guinea-Bissau
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,GNB,,,,,,,,,,,,,,,,,MICS,,3,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2019,Household education,,,GNB,.71956223,.66341054,.3042537,0,.023956697,0,.051059976,.065905415,65,48,46,224,108,67,59,81,MICS,,19,.088540494,.40247068,.28409711,.45337123,.67242551,.91147286,.49972627,.052815925,10.44388,.87198794,76,79,79,64,166,166,156,77,77,161,Completed post-secondary or higher,,16,Guinea-Bissau
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,GNB,,,,,,,,,5,1,0,0,13,4,5,7,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2018,Disability,"At least one sensory, physical or intellectual difficulty",,GNB,,,,,,,,,9,1,0,0,24,7,8,19,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2019,Household education,,,GNB,.41356748,.22130755,.13484524,0,.20808813,.15663673,.25061139,.15185256,292,272,251,1321,752,342,274,486,MICS,.91075987,85,.031722646,.17208092,.16079478,.1777973,.25657284,.61000329,.15888596,.084060065,7.6071353,.62395471,417,410,410,329,889,889,834,384,384,875,Completed primary,.51814449,105,Guinea-Bissau
2019,Disability & Sex,At least one functional difficulty,Female,GNB,,,,,,,,,,,,,,,,,MICS,,5,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2019,Household education,,,GNB,.46371695,.33881178,.1723586,0,.15111247,.16877323,.31456235,.076051146,206,224,180,943,565,245,187,328,MICS,.8586657,78,.038724523,.13361062,.11460984,.10476124,.41026804,.74209422,.20211676,.06586422,8.7934856,.74826169,326,326,326,296,659,659,635,295,295,654,Completed lower secondary,.56934983,77,Guinea-Bissau
2019,Disability & Sex,At least one functional difficulty,Male,GNB,,,,,,,,,,,,,,,,,MICS,,11,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2018,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,GNB,,,,,,,,,4,0,0,0,11,3,3,12,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2019,Disability,"At least one sensory, physical or intellectual difficulty",,GNB,,,,,,,,,,,,,,,,,MICS,,5,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2018,Disability & Sex,At least one functional difficulty,Male,GNB,.32986745,,,,.15896386,.13645092,.14565171,.15607947,56,3,0,0,154,69,32,114,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,GNB,,,,,,,,,,,,,,,,,MICS,,2,,,,,,,,,,,,,,,,,,,,,,,,Guinea-Bissau
2019,Household education,,,GUY,.99890578,.88620037,.57203692,.097452119,.070144095,.045731179,.18268207,.0025932868,224,233,231,608,538,248,136,308,MICS,.96811062,192,.090388134,.094453543,.015453462,.036510486,.859806,.98096454,.44645575,.00082724728,11.098798,.85792148,376,329,329,250,753,753,710,381,381,728,Completed lower secondary,.26449841,98,Guyana
2019,Household education,,,GUY,.99933934,.96944523,.85848713,.23323765,.031383596,.016506836,.14433436,0,209,236,241,669,556,186,136,319,MICS,.95843202,202,.19328909,.23135848,.065314345,.039979465,.9601,.99811167,.84321207,0,11.619037,.94456685,424,434,434,316,838,838,896,466,466,789,Completed upper secondary,.36583143,107,Guyana
2019,Disability & Sex,At least one functional difficulty,Female,GUY,,,,,,,,,,,,,,,,,MICS,,6,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,GUY,,,,,,,,,,,,,,,,,MICS,,2,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2020,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,GUY,,,,0,.013468749,,,,9,1,0,33,30,8,7,17,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2020,Disability,"At least one sensory, physical or intellectual difficulty",,GUY,,,,.035581689,.034662351,,,.052128613,17,2,0,78,73,20,13,45,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2019,Disability & Sex,At least one functional difficulty,Male,GUY,,,,,,,,,,,,,,,,,MICS,,11,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2019,Disability,"At least one sensory, physical or intellectual difficulty",,GUY,,,,,,,,,,,,,,,,,MICS,,4,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2019,Household education,,,GUY,.99810123,.85897857,.77754742,.24183963,0,.04193449,.12795502,0,64,73,78,220,181,64,42,111,MICS,.8156215,67,.23017976,.62405008,.43653488,.59678179,.92820847,.99637878,.81521338,.0052100653,12.251904,.90309924,137,114,114,118,255,255,245,142,142,232,Completed post-secondary or higher,,24,Guyana
2020,Disability,At least one functional difficulty,,GUY,.98023444,,,.021281313,.035232693,.029716348,.16326082,.017270137,98,13,0,288,258,101,69,160,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2020,Disability & Sex,At least one functional difficulty,Male,GUY,.95223212,,,.010459742,.040094629,.028248126,.24310827,.022362234,49,5,0,148,129,49,35,77,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2020,Disability & Sex,At least one functional difficulty,Female,GUY,1,,,.032862056,.030183701,.031766813,.11909569,.011217285,49,8,0,140,129,52,34,83,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2019,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Male,GUY,,,,,,,,,,,,,,,,,MICS,,2,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2019,Household education,,,GUY,.98743105,.69010329,.48157132,.063869968,.024622444,.076296955,.26893005,.0098592751,262,254,241,645,599,286,175,393,MICS,.94116199,165,.041648727,.18046604,.15635593,.24321961,.72467041,.9401561,.38378111,.021242738,9.6203232,.73791289,408,298,298,247,787,787,628,345,345,778,Not completed primary,.29720476,108,Guyana
2019,Disability,At least one functional difficulty,,GUY,,,,,,,,,,,,,,,,,MICS,,17,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2020,Disability & Sex,"At least one sensory, physical or intellectual difficulty",Female,GUY,,,,.056903373,.047388252,,,,8,1,0,45,43,12,6,28,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,Guyana
2019,Household education,,,GUY,.94555032,.74582905,.49102971,.074029252,.014912202,.070275508,.38692316,.0061833607,318,287,288,730,681,320,198,445,MICS,.92849135,173,.064535849,.10088184,.072263181,.041986596,.72184223,.96793109,.41089323,.014169856,9.6642284,.74850982,460,384,384,269,939,939,834,452,452,889,Completed primary,.26338452,99,Guyana
2019,Household education,,,HND,.98664302,.97673076,.77326947,,.035314973,.17794317,.35986406,.004745381,1473,1632,1567,,3654,1653,946,2325,MICS,.96734297,478,.14027964,.13435812,.076648161,.053141363,.97813505,.98939103,.81555545,0,12.244267,.98679602,2642,2368,2368,2042,5172,5172,4960,2568,2568,4989,Completed upper secondary,.66441929,641,Honduras
2019,Disability & Sex,At least one functional difficulty,Female,HND,.99806404,.96434301,,,.098661914,.32602447,.46417126,.021581229,209,40,0,0,375,175,149,245,MICS,,6,,,,,,,,,,,,,,,,,,,,,,,,Honduras
