"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Language","Location","Wealth","mlevel2_m","mlevel3_m","mlevel4_m","mlevel2_se","mlevel3_se","mlevel4_se","mlevel2_no","mlevel3_no","mlevel4_no","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no","slevel2_m","slevel3_m","slevel4_m","slevel2_se","slevel3_se","slevel4_se","slevel2_no","slevel3_no","slevel4_no"
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Language & Wealth","","No","",2,0.4052,0.217,0.0546,0.2397,0.1773,0.0634,6,3,0,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Language & Wealth","","Yes","",1,0.3997,0.1836,0.0304,0.0396,0.0267,0.0154,220,105,18,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Language & Wealth","","Yes","",2,0.5503,0.2903,0.0546,0.0412,0.0321,0.0128,354,188,37,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Language & Wealth","","Yes","",3,0.66,0.4155,0.1144,0.0359,0.0345,0.0202,372,246,74,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Language & Wealth","","Yes","",4,0.8055,0.58,0.1932,0.0271,0.0317,0.035,427,311,117,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Language & Wealth","","Yes","",5,0.9216,0.7589,0.3803,0.0165,0.0323,0.04,521,436,217,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Language & Wealth","","Yes","",1,0.7725,0.4926,0.1068,0.026,0.0296,0.0209,473,302,68,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Language & Wealth","","Yes","",2,0.8286,0.5829,0.1712,0.024,0.0351,0.0204,712,508,150,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Language & Wealth","","Yes","",3,0.8831,0.6837,0.2744,0.0187,0.0294,0.0269,752,589,240,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Language & Wealth","","Yes","",4,0.9373,0.7977,0.3718,0.0156,0.0203,0.0292,808,717,353,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Language & Wealth","","Yes","",5,0.9641,0.8861,0.5357,0.0146,0.0243,0.0321,933,875,578,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Language & Wealth","","No","",5,1,1,0.896,0,0,0.116,6,6,4,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Language & Wealth","","Yes","",1,0.2332,0.0563,4e-04,0.0444,0.0204,9e-04,151,34,1,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Language & Wealth","","Yes","",2,0.3576,0.0911,0.0068,0.0551,0.0271,0.0057,271,74,8,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Language & Wealth","","Yes","",3,0.5551,0.2279,0.0153,0.047,0.0325,0.0054,450,209,19,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Language & Wealth","","Yes","",4,0.7965,0.4376,0.0637,0.0312,0.0332,0.0183,619,350,51,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Language & Wealth","","Yes","",5,0.8954,0.6385,0.1728,0.0322,0.0429,0.0325,795,585,161,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Language & Wealth","","No","",1,0.0751,0.0214,0,0.0542,0.0246,0,3,1,0,,,,,,,,,,,,,,,,,,
"COL",2013,3,"Primary","TERCE","Colombia",170,"Language & Wealth","","No","",5,0.8398,0.6939,0.5087,0.176,0.1537,0.1595,9,7,4,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Language & Wealth","","Yes","",1,0.6925,0.3257,0.0362,0.0305,0.043,0.0135,371,165,21,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Language & Wealth","","Yes","",2,0.736,0.367,0.0388,0.034,0.0333,0.0105,500,262,34,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Language & Wealth","","Yes","",3,0.8297,0.5024,0.082,0.0199,0.0298,0.0131,558,344,52,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Language & Wealth","","Yes","",4,0.8943,0.6229,0.135,0.0169,0.0241,0.0208,611,441,122,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Language & Wealth","","Yes","",5,0.9489,0.7735,0.2722,0.0124,0.0229,0.0276,634,543,228,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Language & Wealth","","No","",4,0.6284,0.4952,0.0648,0.3562,0.3184,0.1444,4,2,0,,,,,,,,,,,,,,,,,,
"CRI",2013,3,"Primary","TERCE","Costa Rica",188,"Language & Wealth","","No","",5,0.9909,0.8931,0.2985,0.03,0.0939,0.1449,18,16,4,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Language & Wealth","","Yes","",1,0.0709,0.0229,0.0011,0.0185,0.0087,0.002,43,16,0,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Language & Wealth","","Yes","",2,0.0923,0.0312,0.0019,0.0185,0.0123,0.0041,62,16,1,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Language & Wealth","","Yes","",3,0.1161,0.0237,0.0017,0.0168,0.0099,0.003,96,18,0,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Language & Wealth","","Yes","",4,0.1303,0.0354,0.0042,0.0237,0.0096,0.0037,104,26,1,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Language & Wealth","","Yes","",5,0.3409,0.1121,0.008,0.0331,0.0249,0.0047,242,84,7,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Language & Wealth","","No","",1,0.0918,0,0,0.0938,0,0,3,0,0,,,,,,,,,,,,,,,,,,
"DOM",2013,3,"Primary","TERCE","Dominican Republic",214,"Language & Wealth","","No","",2,0.0433,0.0217,0,0.0927,0.0707,0,1,0,0,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language & Wealth","","Yes","",1,0.3721,0.1556,0.0335,0.0393,0.0323,0.0146,327,132,22,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language & Wealth","","Yes","",2,0.45,0.213,0.0454,0.0402,0.0369,0.0276,444,201,29,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language & Wealth","","Yes","",3,0.5753,0.2697,0.0391,0.0299,0.032,0.0146,553,245,28,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language & Wealth","","Yes","",4,0.6719,0.3656,0.0583,0.0258,0.0255,0.012,603,321,46,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language & Wealth","","Yes","",5,0.8067,0.5187,0.145,0.0214,0.0292,0.0236,780,501,124,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language & Wealth","","No","",1,0.4337,0.2322,0.0558,0.1736,0.1601,0.068,15,10,2,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language & Wealth","","No","",2,0.286,0.1296,0,0.1869,0.1367,0,7,2,0,,,,,,,,,,,,,,,,,,
"ECU",2013,3,"Primary","TERCE","Ecuador",218,"Language & Wealth","","No","",3,0.4897,0.2078,0.1247,0.2224,0.2107,0.2054,6,1,1,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","Yes","",1,0.2002,0.0343,3e-04,0.0302,0.0092,7e-04,152,30,0,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","Yes","",2,0.2316,0.0503,0.0019,0.0226,0.012,0.0018,232,52,1,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","Yes","",3,0.3554,0.1045,0.0087,0.0233,0.0147,0.0047,321,95,5,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","Yes","",4,0.5216,0.2179,0.0302,0.0323,0.0226,0.0101,458,192,22,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","Yes","",5,0.77,0.5172,0.1551,0.0306,0.0351,0.021,626,415,112,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","No","",1,0.2016,0.0815,0,0.1012,0.0537,0,15,2,0,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","No","",2,0.2069,0.0434,0,0.1001,0.0545,0,10,2,0,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","No","",3,0.1959,0.0421,0,0.1419,0.0523,0,17,2,0,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","No","",4,0.0759,0.0044,0,0.0881,0.0137,0,5,0,0,,,,,,,,,,,,,,,,,,
"GTM",2013,3,"Primary","TERCE","Guatemala",320,"Language & Wealth","","No","",5,0.4995,0.2833,0,0.284,0.2303,0,6,3,0,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language & Wealth","","Yes","",1,0.3721,0.1997,0.0465,0.0395,0.0349,0.0179,264,114,19,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language & Wealth","","Yes","",2,0.4074,0.1518,0.0239,0.0368,0.0247,0.0094,284,103,13,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language & Wealth","","Yes","",3,0.4991,0.1992,0.0193,0.0408,0.031,0.011,356,139,14,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language & Wealth","","Yes","",4,0.5759,0.2699,0.0376,0.0344,0.0358,0.0125,448,244,36,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language & Wealth","","Yes","",5,0.8101,0.5023,0.1144,0.0388,0.0493,0.025,543,374,98,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language & Wealth","","No","",1,0.0356,0.0224,0.004,0.0419,0.0267,0.0145,2,1,0,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language & Wealth","","No","",2,0.2059,0.1081,0.0406,0.1339,0.0921,0.052,10,7,4,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language & Wealth","","No","",3,0.5872,0.2428,0.0833,0.2264,0.1541,0.1072,6,2,2,,,,,,,,,,,,,,,,,,
"HND",2013,3,"Primary","TERCE","Honduras",340,"Language & Wealth","","No","",5,1,0.8607,0.037,0,0.2349,0.1192,6,6,0,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language & Wealth","","Yes","",1,0.5724,0.3186,0.0566,0.0396,0.0453,0.016,251,127,29,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language & Wealth","","Yes","",2,0.6586,0.4071,0.0959,0.0344,0.0295,0.0165,391,236,56,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language & Wealth","","Yes","",3,0.7715,0.5028,0.1151,0.0209,0.0272,0.0168,501,333,92,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language & Wealth","","Yes","",4,0.8847,0.6847,0.2296,0.0194,0.0302,0.0253,541,443,174,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language & Wealth","","Yes","",5,0.9159,0.7434,0.3374,0.0191,0.0293,0.0351,595,510,234,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language & Wealth","","No","",1,0.3419,0.1117,0.0199,0.074,0.0404,0.0203,32,9,1,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language & Wealth","","No","",2,0.4744,0.1381,0,0.1726,0.1123,0,8,2,0,,,,,,,,,,,,,,,,,,
"MEX",2013,3,"Primary","TERCE","Mexico",484,"Language & Wealth","","No","",3,0.075,0.0133,0,0.129,0.0473,0,2,1,0,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language & Wealth","","Yes","",1,0.2555,0.1052,0.0346,0.0339,0.0299,0.0242,148,48,8,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language & Wealth","","Yes","",2,0.2507,0.0634,0.004,0.0273,0.0169,0.0037,172,41,3,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language & Wealth","","Yes","",3,0.322,0.0887,0.0058,0.0279,0.0218,0.0045,205,64,5,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language & Wealth","","Yes","",4,0.3729,0.1004,0.0031,0.0286,0.0188,0.0026,219,63,3,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language & Wealth","","Yes","",5,0.6074,0.2786,0.0378,0.0447,0.0427,0.0145,342,164,21,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language & Wealth","","No","",1,0.0154,0.0077,0,0.0382,0.0286,0,1,0,0,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language & Wealth","","No","",2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language & Wealth","","No","",3,0.0615,0,0,0.0406,0,0,1,0,0,,,,,,,,,,,,,,,,,,
"NIC",2013,3,"Primary","TERCE","Nicaragua",558,"Language & Wealth","","No","",4,0.1384,0,0,0.1071,0,0,3,0,0,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Language & Wealth","","Yes","",1,0.6283,0.3546,0.0731,0.0273,0.0296,0.0143,426,238,49,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Language & Wealth","","Yes","",2,0.7261,0.4552,0.1144,0.023,0.0272,0.0193,554,353,78,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Language & Wealth","","Yes","",3,0.7782,0.5231,0.155,0.0235,0.0259,0.0184,581,392,116,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Language & Wealth","","Yes","",4,0.8668,0.6397,0.2192,0.0164,0.0291,0.0225,624,465,163,,,,,,,,,,,,,,,,,,
"NLE",2013,3,"Primary","TERCE","NLE",,"Language & Wealth","","Yes","",5,0.9232,0.7773,0.3751,0.0176,0.0277,0.0272,688,584,276,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","Yes","",1,0.2374,0.0594,0.0015,0.0387,0.0243,0.0036,89,13,0,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","Yes","",2,0.313,0.0739,7e-04,0.0314,0.0267,0.0016,155,30,2,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","Yes","",3,0.3993,0.1069,0.0053,0.0371,0.022,0.0043,237,68,5,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","Yes","",4,0.5809,0.24,0.0192,0.0429,0.0407,0.0106,303,126,15,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","Yes","",5,0.8281,0.5245,0.106,0.0303,0.04,0.0231,454,301,69,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","No","",1,0.0908,0.0365,0,0.0819,0.0368,0,7,2,0,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","No","",2,0.0555,0.012,0,0.0414,0.0243,0,2,0,0,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","No","",3,0.2734,0.1067,0,0.1854,0.1123,0,3,2,0,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","No","",4,0.8199,0.4697,0.0611,0.2113,0.2102,0.0804,12,7,0,,,,,,,,,,,,,,,,,,
"PAN",2013,3,"Primary","TERCE","Panama",591,"Language & Wealth","","No","",5,0.8574,0.6606,0.1018,0.0887,0.1702,0.0818,14,13,2,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language & Wealth","","Yes","",1,0.4129,0.1888,0.0259,0.0361,0.0301,0.018,244,90,7,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language & Wealth","","Yes","",2,0.5025,0.2527,0.0439,0.0368,0.0274,0.0159,388,185,23,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language & Wealth","","Yes","",3,0.6692,0.3868,0.0745,0.03,0.0306,0.0168,568,357,73,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language & Wealth","","Yes","",4,0.7952,0.5368,0.1454,0.0268,0.0325,0.0187,696,497,147,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language & Wealth","","Yes","",5,0.9047,0.7035,0.2597,0.0171,0.0342,0.0275,731,592,239,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language & Wealth","","No","",1,0.1698,0.0511,0.0027,0.0586,0.027,0.0062,32,11,0,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language & Wealth","","No","",2,0.1887,0.0683,0,0.0686,0.0554,0,18,3,0,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language & Wealth","","No","",3,0.1813,0.047,0.0047,0.0881,0.0442,0.0105,12,5,0,,,,,,,,,,,,,,,,,,
"PER",2013,3,"Primary","TERCE","Peru",604,"Language & Wealth","","No","",4,0.142,0.1047,0.0209,0.1267,0.1062,0.0699,2,1,0,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","Yes","",1,0.192,0.0408,0,0.0639,0.0377,0,11,2,0,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","Yes","",2,0.3316,0.1202,0.0154,0.0469,0.0298,0.0192,43,11,2,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","Yes","",3,0.3688,0.1406,0.0164,0.0493,0.0503,0.0262,75,22,4,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","Yes","",4,0.487,0.2109,0.0308,0.0458,0.0417,0.0167,133,59,7,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","Yes","",5,0.7454,0.4576,0.0958,0.0468,0.0513,0.0228,350,233,52,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","No","",1,0.2414,0.1575,0.0644,0.0443,0.0416,0.0318,104,59,19,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","No","",2,0.2804,0.1578,0.0589,0.0405,0.0335,0.0252,118,53,15,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","No","",3,0.2601,0.0895,0.0111,0.0389,0.0261,0.0096,94,32,7,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","No","",4,0.3329,0.1494,0.0251,0.0458,0.034,0.0187,81,33,4,,,,,,,,,,,,,,,,,,
"PRY",2013,3,"Primary","TERCE","Paraguay",600,"Language & Wealth","","No","",5,0.5775,0.3038,0.0683,0.077,0.0759,0.0415,69,37,8,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","Yes","",1,0.4126,0.1907,0.0247,0.0727,0.0438,0.0216,244,109,12,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","Yes","",2,0.6572,0.3828,0.0676,0.0557,0.0606,0.0366,411,219,39,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","Yes","",3,0.646,0.3977,0.1083,0.0446,0.0622,0.0377,454,278,70,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","Yes","",4,0.8195,0.5762,0.2275,0.0436,0.0544,0.0535,586,409,125,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","Yes","",5,0.903,0.7429,0.3398,0.0337,0.0426,0.0306,681,551,244,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","No","",1,0.2869,0.1034,0,0.2409,0.1487,0,17,7,0,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","No","",2,0.6901,0.2259,0.0225,0.2507,0.2379,0.0318,10,4,0,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","No","",3,0.8952,0.8758,0.4341,0.1475,0.1635,0.3501,7,5,2,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","No","",4,0.8549,0.7922,0.5412,0.1849,0.205,0.2986,5,3,2,,,,,,,,,,,,,,,,,,
"URY",2013,3,"Primary","TERCE","Uruguay",858,"Language & Wealth","","No","",5,0.8792,0.6366,0.1523,0.1551,0.3149,0.1645,8,6,1,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Urban",1,0.4094,0.1796,0.0254,0.0483,0.0283,0.0131,138,58,5,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Urban",2,0.4898,0.2529,0.0487,0.0416,0.0329,0.0165,231,120,28,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Urban",3,0.6006,0.3554,0.0722,0.033,0.0352,0.0156,313,191,39,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Urban",4,0.7314,0.4399,0.1121,0.0275,0.0298,0.0158,456,276,85,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Urban",5,0.7874,0.5495,0.1828,0.0263,0.0283,0.0212,527,379,136,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Rural",1,0.4819,0.2839,0.0673,0.0553,0.0583,0.0309,192,87,19,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Rural",2,0.6014,0.3481,0.1248,0.0476,0.0646,0.0699,172,96,16,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Rural",3,0.6651,0.3806,0.0818,0.0512,0.06,0.0475,145,77,18,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Rural",4,0.7149,0.3821,0.0715,0.0533,0.0652,0.0234,109,66,13,,,,,,,,,,,,,,,,,,
"ARG",2013,3,"Primary","TERCE","Argentina",32,"Location & Wealth","","","Rural",5,0.7508,0.4827,0.1535,0.0696,0.0832,0.0551,66,44,14,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Urban",1,0.3623,0.1571,0.0234,0.05,0.029,0.0093,143,71,10,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Urban",2,0.5502,0.2991,0.0564,0.0414,0.0374,0.013,279,163,33,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Urban",3,0.6416,0.3922,0.099,0.0363,0.0354,0.0195,346,226,63,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Urban",4,0.7946,0.5704,0.1866,0.0314,0.0357,0.0322,465,343,127,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Urban",5,0.9092,0.7464,0.364,0.0164,0.0314,0.0368,598,501,247,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Rural",1,0.4254,0.2106,0.0402,0.0524,0.0415,0.0312,143,68,11,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Rural",2,0.5469,0.2465,0.0658,0.0549,0.0569,0.0288,153,67,17,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Rural",3,0.6941,0.4518,0.1592,0.0666,0.062,0.0466,92,65,23,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Rural",4,0.7679,0.4638,0.1159,0.1222,0.1488,0.0585,40,21,4,,,,,,,,,,,,,,,,,,
"BRA",2013,3,"Primary","TERCE","Brazil",76,"Location & Wealth","","","Rural",5,0.8085,0.5332,0.2075,0.2123,0.1831,0.1315,20,13,6,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Location & Wealth","","","Urban",1,0.7726,0.5016,0.1053,0.0328,0.041,0.0206,269,174,42,,,,,,,,,,,,,,,,,,
"CHL",2013,3,"Primary","TERCE","Chile",152,"Location & Wealth","","","Urban",2,0.8238,0.5724,0.1638,0.0238,0.0335,0.0213,525,377,119,,,,,,,,,,,,,,,,,,
