"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Location","Language","Wealth","rlevel2_m","rlevel3_m","rlevel4_m","rlevel2_se","rlevel3_se","rlevel4_se","rlevel2_no","rlevel3_no","rlevel4_no"
"",2006,4,"Primary","PIRLS","Scotland",927,"Wealth","","","",4,0.9756,0.8956,0.5971,0.0139,0.0222,0.0404,328,301,207
"",2006,4,"Primary","PIRLS","Scotland",927,"Wealth","","","",5,0.9918,0.9633,0.7475,0.0072,0.0155,0.0325,334,325,259
"SGP",2006,4,"Primary","PIRLS","Singapore",702,"Wealth","","","",1,0.9245,0.7289,0.3537,0.0122,0.0211,0.0237,1020,781,376
"SGP",2006,4,"Primary","PIRLS","Singapore",702,"Wealth","","","",2,0.9663,0.8561,0.5142,0.0067,0.0146,0.0262,1073,942,554
"SGP",2006,4,"Primary","PIRLS","Singapore",702,"Wealth","","","",3,0.9863,0.8975,0.6019,0.0042,0.0129,0.0235,1089,994,662
"SGP",2006,4,"Primary","PIRLS","Singapore",702,"Wealth","","","",4,0.9938,0.9404,0.7145,0.0024,0.0086,0.0187,1160,1088,824
"SGP",2006,4,"Primary","PIRLS","Singapore",702,"Wealth","","","",5,0.996,0.9661,0.807,0.0024,0.0075,0.0188,1053,1019,848
"SVK",2006,4,"Primary","PIRLS","Slovakia",703,"Wealth","","","",1,0.8958,0.6439,0.2467,0.0182,0.0273,0.0211,823,606,237
"SVK",2006,4,"Primary","PIRLS","Slovakia",703,"Wealth","","","",2,0.9715,0.827,0.3926,0.009,0.0195,0.0216,892,757,373
"SVK",2006,4,"Primary","PIRLS","Slovakia",703,"Wealth","","","",3,0.9837,0.8753,0.4955,0.0068,0.0196,0.0232,962,865,503
"SVK",2006,4,"Primary","PIRLS","Slovakia",703,"Wealth","","","",4,0.9908,0.9221,0.575,0.0069,0.0136,0.0284,856,800,502
"SVK",2006,4,"Primary","PIRLS","Slovakia",703,"Wealth","","","",5,0.9953,0.9685,0.7066,0.0041,0.0083,0.0221,911,881,660
"SVN",2006,4,"Primary","PIRLS","Slovenia",705,"Wealth","","","",1,0.8838,0.5921,0.201,0.0123,0.0225,0.019,802,539,174
"SVN",2006,4,"Primary","PIRLS","Slovenia",705,"Wealth","","","",2,0.9533,0.7544,0.3077,0.0095,0.0225,0.0226,944,747,284
"SVN",2006,4,"Primary","PIRLS","Slovenia",705,"Wealth","","","",3,0.9698,0.7863,0.3472,0.0064,0.0236,0.0218,831,687,318
"SVN",2006,4,"Primary","PIRLS","Slovenia",705,"Wealth","","","",4,0.9766,0.8648,0.487,0.0066,0.0173,0.0293,866,770,449
"SVN",2006,4,"Primary","PIRLS","Slovenia",705,"Wealth","","","",5,0.9939,0.9391,0.6471,0.0029,0.0106,0.0226,888,844,580
"SWE",2006,4,"Primary","PIRLS","Sweden",752,"Wealth","","","",1,0.9657,0.7928,0.3535,0.0105,0.019,0.0273,693,562,250
"SWE",2006,4,"Primary","PIRLS","Sweden",752,"Wealth","","","",2,0.9813,0.8862,0.4906,0.0073,0.0191,0.0328,692,617,337
"SWE",2006,4,"Primary","PIRLS","Sweden",752,"Wealth","","","",3,0.9932,0.9216,0.6085,0.0041,0.0135,0.0202,740,690,452
"SWE",2006,4,"Primary","PIRLS","Sweden",752,"Wealth","","","",4,0.9971,0.9527,0.6831,0.0029,0.0105,0.0209,852,811,589
"SWE",2006,4,"Primary","PIRLS","Sweden",752,"Wealth","","","",5,0.998,0.9787,0.7368,0.002,0.0081,0.0353,517,508,370
"TTO",2006,4,"Primary","PIRLS","Trinidad and Tobago",780,"Wealth","","","",1,0.529,0.2231,0.048,0.0335,0.0244,0.0098,285,122,27
"TTO",2006,4,"Primary","PIRLS","Trinidad and Tobago",780,"Wealth","","","",2,0.5705,0.3045,0.0767,0.0334,0.0306,0.0126,324,169,48
"TTO",2006,4,"Primary","PIRLS","Trinidad and Tobago",780,"Wealth","","","",3,0.7408,0.4303,0.1285,0.0311,0.0313,0.0187,407,267,81
"TTO",2006,4,"Primary","PIRLS","Trinidad and Tobago",780,"Wealth","","","",4,0.7828,0.5336,0.2066,0.0268,0.0296,0.0267,434,303,122
"TTO",2006,4,"Primary","PIRLS","Trinidad and Tobago",780,"Wealth","","","",5,0.8879,0.7016,0.3586,0.0221,0.0304,0.033,487,395,212
"TWN",2006,4,"Primary","PIRLS","Taiwan, Province of China",158,"Wealth","","","",1,0.9365,0.7127,0.248,0.0108,0.0209,0.0239,748,586,189
"TWN",2006,4,"Primary","PIRLS","Taiwan, Province of China",158,"Wealth","","","",2,0.9712,0.8225,0.3445,0.0076,0.0214,0.0227,811,691,300
"TWN",2006,4,"Primary","PIRLS","Taiwan, Province of China",158,"Wealth","","","",3,0.9821,0.8627,0.4376,0.0061,0.0156,0.0194,755,663,339
"TWN",2006,4,"Primary","PIRLS","Taiwan, Province of China",158,"Wealth","","","",4,0.9881,0.8997,0.5227,0.0053,0.017,0.0202,787,733,414
"TWN",2006,4,"Primary","PIRLS","Taiwan, Province of China",158,"Wealth","","","",5,0.9967,0.9679,0.7126,0.0023,0.007,0.0203,798,776,572
"ZAF",2006,4,"Primary","PIRLS","South Africa",710,"Wealth","","","",1,0.1115,0.0323,0.0044,0.0135,0.0072,0.0027,139,34,5
"ZAF",2006,4,"Primary","PIRLS","South Africa",710,"Wealth","","","",2,0.15,0.0478,0.0113,0.0149,0.0082,0.0059,175,56,8
"ZAF",2006,4,"Primary","PIRLS","South Africa",710,"Wealth","","","",3,0.2206,0.084,0.022,0.0237,0.0155,0.0072,219,73,23
"ZAF",2006,4,"Primary","PIRLS","South Africa",710,"Wealth","","","",4,0.3757,0.213,0.0836,0.0328,0.0286,0.0169,353,171,63
"ZAF",2006,4,"Primary","PIRLS","South Africa",710,"Wealth","","","",5,0.779,0.6368,0.3769,0.0321,0.043,0.0433,744,587,321
"AUT",2006,4,"Primary","PIRLS","Austria",40,"Location & Sex","Female","Urban","",,0.9756,0.821,0.4705,0.0053,0.0175,0.0252,1471,1240,722
"AUT",2006,4,"Primary","PIRLS","Austria",40,"Location & Sex","Female","Rural","",,0.9926,0.899,0.5033,0.0053,0.0156,0.0244,974,879,493
"AUT",2006,4,"Primary","PIRLS","Austria",40,"Location & Sex","Male","Urban","",,0.9625,0.786,0.3996,0.0083,0.0172,0.0229,1517,1234,630
"AUT",2006,4,"Primary","PIRLS","Austria",40,"Location & Sex","Male","Rural","",,0.975,0.8536,0.4348,0.0084,0.0189,0.0314,956,840,440
"",2006,4,"Primary","PIRLS","Belgium (Flemish)",956,"Location & Sex","Female","Urban","",,0.9894,0.8953,0.4905,0.0033,0.0144,0.0254,1230,1118,621
"",2006,4,"Primary","PIRLS","Belgium (Flemish)",956,"Location & Sex","Female","Rural","",,0.9976,0.9342,0.5417,0.0026,0.0154,0.0249,873,827,471
"",2006,4,"Primary","PIRLS","Belgium (Flemish)",956,"Location & Sex","Male","Urban","",,0.9875,0.8668,0.4559,0.0044,0.0156,0.0246,1247,1101,595
"",2006,4,"Primary","PIRLS","Belgium (Flemish)",956,"Location & Sex","Male","Rural","",,0.9955,0.9035,0.4983,0.0026,0.0132,0.0285,897,816,441
"",2006,4,"Primary","PIRLS","Belgium (French)",957,"Location & Sex","Female","Urban","",,0.9243,0.6525,0.2174,0.0127,0.0255,0.019,1329,952,322
"",2006,4,"Primary","PIRLS","Belgium (French)",957,"Location & Sex","Female","Rural","",,0.9567,0.726,0.3074,0.0141,0.0344,0.0278,497,390,164
"",2006,4,"Primary","PIRLS","Belgium (French)",957,"Location & Sex","Male","Urban","",,0.8968,0.6023,0.2073,0.0168,0.0273,0.0201,1274,879,322
"",2006,4,"Primary","PIRLS","Belgium (French)",957,"Location & Sex","Male","Rural","",,0.9391,0.7185,0.2667,0.0157,0.0328,0.029,477,369,137
"BGR",2006,4,"Primary","PIRLS","Bulgaria",100,"Location & Sex","Female","Urban","",,0.9718,0.8678,0.6097,0.0093,0.0213,0.0301,1534,1389,994
"BGR",2006,4,"Primary","PIRLS","Bulgaria",100,"Location & Sex","Female","Rural","",,0.9323,0.7977,0.4299,0.026,0.0429,0.0624,214,184,90
"BGR",2006,4,"Primary","PIRLS","Bulgaria",100,"Location & Sex","Male","Urban","",,0.9537,0.8317,0.5224,0.0099,0.0236,0.0296,1558,1368,850
"BGR",2006,4,"Primary","PIRLS","Bulgaria",100,"Location & Sex","Male","Rural","",,0.8627,0.6714,0.3028,0.0436,0.0591,0.0483,202,157,67
"",2006,4,"Primary","PIRLS","Canada, Alberta",9134,"Location & Sex","Female","Urban","",,0.9904,0.9096,0.6134,0.0036,0.0142,0.0202,1555,1452,985
"",2006,4,"Primary","PIRLS","Canada, Alberta",9134,"Location & Sex","Female","Rural","",,0.9912,0.8927,0.5182,0.0053,0.0203,0.0325,489,441,252
"",2006,4,"Primary","PIRLS","Canada, Alberta",9134,"Location & Sex","Male","Urban","",,0.9908,0.8933,0.5701,0.0034,0.0151,0.025,1570,1420,921
"",2006,4,"Primary","PIRLS","Canada, Alberta",9134,"Location & Sex","Male","Rural","",,0.9748,0.8437,0.5089,0.0114,0.0289,0.0341,513,432,265
"",2006,4,"Primary","PIRLS","Canada, British Columbia",9135,"Location & Sex","Female","Urban","",,0.9887,0.9033,0.5978,0.0042,0.0113,0.0208,1630,1492,1002
"",2006,4,"Primary","PIRLS","Canada, British Columbia",9135,"Location & Sex","Female","Rural","",,0.9781,0.8603,0.5426,0.0141,0.0343,0.0561,219,189,114
"",2006,4,"Primary","PIRLS","Canada, British Columbia",9135,"Location & Sex","Male","Urban","",,0.9844,0.888,0.5445,0.0042,0.0131,0.0207,1603,1438,905
"",2006,4,"Primary","PIRLS","Canada, British Columbia",9135,"Location & Sex","Male","Rural","",,0.9768,0.796,0.4621,0.014,0.0412,0.0554,224,186,112
"",2006,4,"Primary","PIRLS","Canada, Nova Scotia",9136,"Location & Sex","Female","Urban","",,0.9792,0.8748,0.541,0.0071,0.016,0.0269,950,848,515
"",2006,4,"Primary","PIRLS","Canada, Nova Scotia",9136,"Location & Sex","Female","Rural","",,0.9675,0.8462,0.5399,0.0084,0.0139,0.0235,1068,924,574
"",2006,4,"Primary","PIRLS","Canada, Nova Scotia",9136,"Location & Sex","Male","Urban","",,0.9474,0.8111,0.4651,0.0091,0.0181,0.0264,944,806,439
"",2006,4,"Primary","PIRLS","Canada, Nova Scotia",9136,"Location & Sex","Male","Rural","",,0.9309,0.7481,0.3893,0.0109,0.0211,0.0216,1043,834,428
"",2006,4,"Primary","PIRLS","Canada, Ontario",9132,"Location & Sex","Female","Urban","",,0.9904,0.9027,0.5756,0.004,0.0137,0.0283,1554,1363,813
"",2006,4,"Primary","PIRLS","Canada, Ontario",9132,"Location & Sex","Female","Rural","",,0.9834,0.8812,0.5392,0.0096,0.0272,0.0534,304,244,129
"",2006,4,"Primary","PIRLS","Canada, Ontario",9132,"Location & Sex","Male","Urban","",,0.9705,0.8529,0.5166,0.0089,0.018,0.0254,1539,1300,701
"",2006,4,"Primary","PIRLS","Canada, Ontario",9132,"Location & Sex","Male","Rural","",,0.9754,0.8307,0.5094,0.0148,0.0324,0.0529,304,221,108
"",2006,4,"Primary","PIRLS","Canada, Quebec",9133,"Location & Sex","Female","Urban","",,0.9827,0.8643,0.4473,0.0053,0.0168,0.0231,1389,1211,623
"",2006,4,"Primary","PIRLS","Canada, Quebec",9133,"Location & Sex","Female","Rural","",,0.9843,0.84,0.4334,0.0132,0.0359,0.049,252,210,107
"",2006,4,"Primary","PIRLS","Canada, Quebec",9133,"Location & Sex","Male","Urban","",,0.9668,0.8082,0.3899,0.0081,0.0212,0.0298,1381,1145,564
"",2006,4,"Primary","PIRLS","Canada, Quebec",9133,"Location & Sex","Male","Rural","",,0.9619,0.7358,0.3462,0.016,0.0511,0.0474,243,183,85
"DEU",2006,4,"Primary","PIRLS","Germany",276,"Location & Sex","Female","Urban","",,0.9704,0.8523,0.5212,0.0066,0.0177,0.0246,2232,1966,1178
"DEU",2006,4,"Primary","PIRLS","Germany",276,"Location & Sex","Female","Rural","",,0.9927,0.9197,0.5804,0.0037,0.0147,0.0283,1410,1320,838
"DEU",2006,4,"Primary","PIRLS","Germany",276,"Location & Sex","Male","Urban","",,0.9566,0.8297,0.4713,0.0094,0.0173,0.0266,2252,1952,1064
"DEU",2006,4,"Primary","PIRLS","Germany",276,"Location & Sex","Male","Rural","",,0.9903,0.8979,0.5289,0.0047,0.0118,0.0247,1536,1387,825
"DNK",2006,4,"Primary","PIRLS","Denmark",208,"Location & Sex","Female","Urban","",,0.9726,0.8801,0.5636,0.0055,0.0127,0.0227,1365,1238,805
"DNK",2006,4,"Primary","PIRLS","Denmark",208,"Location & Sex","Female","Rural","",,0.971,0.8523,0.5335,0.0096,0.026,0.0402,491,438,288
"DNK",2006,4,"Primary","PIRLS","Denmark",208,"Location & Sex","Male","Urban","",,0.9664,0.8517,0.5072,0.0077,0.0143,0.0207,1266,1123,678
"DNK",2006,4,"Primary","PIRLS","Denmark",208,"Location & Sex","Male","Rural","",,0.9452,0.8037,0.458,0.0153,0.028,0.0374,456,393,234
"ENG",2006,4,"Primary","PIRLS","England",926,"Location & Sex","Female","Urban","",,0.9363,0.7973,0.5091,0.0096,0.0192,0.0188,1313,1118,718
"ENG",2006,4,"Primary","PIRLS","England",926,"Location & Sex","Female","Rural","",,0.9782,0.931,0.648,0.0108,0.0198,0.0347,266,254,175
"ENG",2006,4,"Primary","PIRLS","England",926,"Location & Sex","Male","Urban","",,0.917,0.7476,0.4214,0.0087,0.0152,0.019,1342,1095,616
"ENG",2006,4,"Primary","PIRLS","England",926,"Location & Sex","Male","Rural","",,0.9666,0.8557,0.5435,0.0146,0.0298,0.0428,265,226,132
"ESP",2006,4,"Primary","PIRLS","Spain",724,"Location & Sex","Female","Urban","",,0.9441,0.7432,0.3356,0.0107,0.0221,0.0182,1453,1165,556
"ESP",2006,4,"Primary","PIRLS","Spain",724,"Location & Sex","Female","Rural","",,0.9167,0.6939,0.2803,0.0321,0.0493,0.0333,279,200,84
"ESP",2006,4,"Primary","PIRLS","Spain",724,"Location & Sex","Male","Urban","",,0.9463,0.7351,0.3238,0.0097,0.0195,0.0197,1481,1158,542
"ESP",2006,4,"Primary","PIRLS","Spain",724,"Location & Sex","Male","Rural","",,0.8981,0.6168,0.2244,0.0385,0.0431,0.0364,303,213,74
"FRA",2006,4,"Primary","PIRLS","France",250,"Location & Sex","Female","Urban","",,0.9635,0.7796,0.3767,0.0071,0.0188,0.023,1231,998,489
"FRA",2006,4,"Primary","PIRLS","France",250,"Location & Sex","Female","Rural","",,0.9758,0.8023,0.3806,0.0082,0.0171,0.023,663,544,263
"FRA",2006,4,"Primary","PIRLS","France",250,"Location & Sex","Male","Urban","",,0.9403,0.7241,0.3247,0.0096,0.0223,0.0234,1315,1035,457
"FRA",2006,4,"Primary","PIRLS","France",250,"Location & Sex","Male","Rural","",,0.9618,0.7605,0.3213,0.01,0.0245,0.0259,695,549,255
"GEO",2006,4,"Primary","PIRLS","Georgia",268,"Location & Sex","Female","Urban","",,0.889,0.6023,0.1865,0.0163,0.0264,0.0213,1500,1038,315
"GEO",2006,4,"Primary","PIRLS","Georgia",268,"Location & Sex","Female","Rural","",,0.8124,0.4795,0.1512,0.028,0.0319,0.0221,357,201,55
"GEO",2006,4,"Primary","PIRLS","Georgia",268,"Location & Sex","Male","Urban","",,0.838,0.5058,0.1346,0.018,0.0261,0.0181,1416,878,239
"GEO",2006,4,"Primary","PIRLS","Georgia",268,"Location & Sex","Male","Rural","",,0.725,0.3868,0.1268,0.0308,0.0397,0.03,354,170,40
"HKG",2006,4,"Primary","PIRLS","Hong Kong",344,"Location & Sex","Female","Urban","",,0.9963,0.9519,0.6631,0.0017,0.0069,0.0169,2104,2011,1425
"HKG",2006,4,"Primary","PIRLS","Hong Kong",344,"Location & Sex","Female","Rural","",,0.9938,0.9066,0.5202,0.0111,0.0491,0.0742,96,88,56
"HKG",2006,4,"Primary","PIRLS","Hong Kong",344,"Location & Sex","Male","Urban","",,0.9882,0.9121,0.6031,0.0036,0.0115,0.02,2208,2044,1336
"HKG",2006,4,"Primary","PIRLS","Hong Kong",344,"Location & Sex","Male","Rural","",,0.9711,0.8014,0.398,0.0232,0.0728,0.1059,94,79,38
"HUN",2006,4,"Primary","PIRLS","Hungary",348,"Location & Sex","Female","Urban","",,0.9829,0.8954,0.6133,0.007,0.0217,0.0259,1483,1378,972
"HUN",2006,4,"Primary","PIRLS","Hungary",348,"Location & Sex","Female","Rural","",,0.9623,0.7949,0.3937,0.0125,0.0327,0.0309,426,352,175
"HUN",2006,4,"Primary","PIRLS","Hungary",348,"Location & Sex","Male","Urban","",,0.9776,0.8811,0.5647,0.0081,0.0185,0.0222,1557,1429,909
"HUN",2006,4,"Primary","PIRLS","Hungary",348,"Location & Sex","Male","Rural","",,0.9546,0.7979,0.381,0.0159,0.0281,0.0382,390,325,155
"",2006,4,"Primary","PIRLS","Iceland (5th grade)",9352,"Location & Sex","Female","Urban","",,0.9835,0.9046,0.5633,0.0085,0.0136,0.0352,476,444,279
"",2006,4,"Primary","PIRLS","Iceland (5th grade)",9352,"Location & Sex","Female","Rural","",,0.9986,0.9293,0.6885,0.0047,0.038,0.0412,70,66,48
"",2006,4,"Primary","PIRLS","Iceland (5th grade)",9352,"Location & Sex","Male","Urban","",,0.9798,0.8554,0.5013,0.01,0.0201,0.0301,529,471,278
"",2006,4,"Primary","PIRLS","Iceland (5th grade)",9352,"Location & Sex","Male","Rural","",,0.9839,0.81,0.4754,0.0316,0.0727,0.0974,64,56,30
"IDN",2006,4,"Primary","PIRLS","Indonesia",360,"Location & Sex","Female","Urban","",,0.7625,0.3667,0.058,0.0289,0.036,0.0141,583,290,41
"IDN",2006,4,"Primary","PIRLS","Indonesia",360,"Location & Sex","Female","Rural","",,0.5252,0.1658,0.0173,0.0273,0.0208,0.0051,816,264,21
"IDN",2006,4,"Primary","PIRLS","Indonesia",360,"Location & Sex","Male","Urban","",,0.65,0.2737,0.0449,0.0362,0.0319,0.0127,482,201,29
"IDN",2006,4,"Primary","PIRLS","Indonesia",360,"Location & Sex","Male","Rural","",,0.429,0.1171,0.0129,0.0292,0.0169,0.0045,661,190,19
"IRN",2006,4,"Primary","PIRLS","Iran, Islamic Republic of",364,"Location & Sex","Female","Urban","",,0.7406,0.4493,0.1316,0.03,0.0285,0.0161,1442,922,305
"IRN",2006,4,"Primary","PIRLS","Iran, Islamic Republic of",364,"Location & Sex","Female","Rural","",,0.4304,0.1521,0.0201,0.0378,0.0242,0.0082,266,102,15
"IRN",2006,4,"Primary","PIRLS","Iran, Islamic Republic of",364,"Location & Sex","Male","Urban","",,0.6693,0.3352,0.0907,0.0246,0.02,0.0111,1630,872,293
"IRN",2006,4,"Primary","PIRLS","Iran, Islamic Republic of",364,"Location & Sex","Male","Rural","",,0.384,0.1444,0.0181,0.0443,0.0284,0.0071,242,86,10
"ISL",2006,4,"Primary","PIRLS","Iceland",352,"Location & Sex","Female","Urban","",,0.9606,0.7888,0.3515,0.0095,0.0126,0.0182,1136,934,433
"ISL",2006,4,"Primary","PIRLS","Iceland",352,"Location & Sex","Female","Rural","",,0.9494,0.7559,0.2968,0.0135,0.0201,0.0255,465,374,159
"ISL",2006,4,"Primary","PIRLS","Iceland",352,"Location & Sex","Male","Urban","",,0.9092,0.6818,0.2704,0.0096,0.0161,0.0174,1060,801,307
"ISL",2006,4,"Primary","PIRLS","Iceland",352,"Location & Sex","Male","Rural","",,0.9093,0.647,0.2269,0.0146,0.0258,0.0179,444,323,111
"ISR",2006,4,"Primary","PIRLS","Israel",376,"Location & Sex","Female","Urban","",,0.92,0.8058,0.4878,0.0171,0.0242,0.0261,1084,948,565
"ISR",2006,4,"Primary","PIRLS","Israel",376,"Location & Sex","Female","Rural","",,0.7856,0.5806,0.2833,0.0399,0.047,0.0446,490,365,178
"ISR",2006,4,"Primary","PIRLS","Israel",376,"Location & Sex","Male","Urban","",,0.9039,0.7619,0.452,0.0201,0.0257,0.027,1169,982,571
"ISR",2006,4,"Primary","PIRLS","Israel",376,"Location & Sex","Male","Rural","",,0.6936,0.4602,0.2179,0.0397,0.0439,0.0347,447,293,142
"ITA",2006,4,"Primary","PIRLS","Italy",380,"Location & Sex","Female","Urban","",,0.9869,0.8907,0.5579,0.0046,0.0135,0.0191,1524,1363,861
"ITA",2006,4,"Primary","PIRLS","Italy",380,"Location & Sex","Female","Rural","",,0.9792,0.8229,0.4623,0.0139,0.0452,0.0653,189,162,94
"ITA",2006,4,"Primary","PIRLS","Italy",380,"Location & Sex","Male","Urban","",,0.9834,0.8767,0.524,0.0045,0.0129,0.0213,1611,1422,851
"ITA",2006,4,"Primary","PIRLS","Italy",380,"Location & Sex","Male","Rural","",,0.9492,0.7435,0.3939,0.0272,0.0493,0.0624,195,152,77
"KWT",2006,4,"Primary","PIRLS","Kuwait",414,"Location & Sex","Female","Urban","",,0.3904,0.1543,0.0237,0.0215,0.0165,0.0057,606,237,36
"KWT",2006,4,"Primary","PIRLS","Kuwait",414,"Location & Sex","Female","Rural","",,0.2848,0.089,0.0135,0.039,0.0247,0.0102,95,25,7
"KWT",2006,4,"Primary","PIRLS","Kuwait",414,"Location & Sex","Male","Urban","",,0.1972,0.0625,0.0102,0.0154,0.0089,0.0027,325,103,17
"KWT",2006,4,"Primary","PIRLS","Kuwait",414,"Location & Sex","Male","Rural","",,0.138,0.0362,0.0046,0.0347,0.0193,0.0071,29,10,1
"LTU",2006,4,"Primary","PIRLS","Lithuania",440,"Location & Sex","Female","Urban","",,0.9957,0.9218,0.543,0.0018,0.0092,0.0202,1963,1827,1073
"LTU",2006,4,"Primary","PIRLS","Lithuania",440,"Location & Sex","Female","Rural","",,0.9774,0.8099,0.351,0.0107,0.0326,0.043,307,259,121
"LTU",2006,4,"Primary","PIRLS","Lithuania",440,"Location & Sex","Male","Urban","",,0.9898,0.8622,0.4072,0.0042,0.0142,0.02,2001,1733,809
"LTU",2006,4,"Primary","PIRLS","Lithuania",440,"Location & Sex","Male","Rural","",,0.9637,0.736,0.2423,0.0182,0.0333,0.0346,349,259,86
"LVA",2006,4,"Primary","PIRLS","Latvia",428,"Location & Sex","Female","Urban","",,0.9943,0.9136,0.5697,0.0033,0.0105,0.0184,1770,1644,1053
"LVA",2006,4,"Primary","PIRLS","Latvia",428,"Location & Sex","Female","Rural","",,0.989,0.8515,0.4607,0.01,0.0358,0.0547,231,203,117
"LVA",2006,4,"Primary","PIRLS","Latvia",428,"Location & Sex","Male","Urban","",,0.9826,0.8562,0.4167,0.0044,0.0119,0.0201,1818,1605,819
"LVA",2006,4,"Primary","PIRLS","Latvia",428,"Location & Sex","Male","Rural","",,0.9437,0.7284,0.2644,0.0228,0.0506,0.038,263,215,91
"MAR",2006,4,"Primary","PIRLS","Morocco",504,"Location & Sex","Female","Urban","",,0.378,0.1231,0.0246,0.0315,0.0215,0.01,268,92,20
"MAR",2006,4,"Primary","PIRLS","Morocco",504,"Location & Sex","Female","Rural","",,0.1878,0.0606,0.0047,0.0478,0.0288,0.0048,84,28,1
"MAR",2006,4,"Primary","PIRLS","Morocco",504,"Location & Sex","Male","Urban","",,0.3107,0.1156,0.0176,0.0278,0.0175,0.011,233,80,9
"MAR",2006,4,"Primary","PIRLS","Morocco",504,"Location & Sex","Male","Rural","",,0.1714,0.0605,0.0041,0.0444,0.024,0.0061,82,27,0
"MDA",2006,4,"Primary","PIRLS","Moldova, Republic of",498,"Location & Sex","Female","Urban","",,0.9567,0.7754,0.3433,0.0113,0.0273,0.0363,805,671,293
"MDA",2006,4,"Primary","PIRLS","Moldova, Republic of",498,"Location & Sex","Female","Rural","",,0.914,0.6712,0.2159,0.0154,0.0258,0.0223,999,721,254
"MDA",2006,4,"Primary","PIRLS","Moldova, Republic of",498,"Location & Sex","Male","Urban","",,0.9228,0.7094,0.2492,0.0182,0.0347,0.0304,795,604,212
"MDA",2006,4,"Primary","PIRLS","Moldova, Republic of",498,"Location & Sex","Male","Rural","",,0.88,0.5838,0.1822,0.0161,0.0322,0.0216,945,618,202
"MKD",2006,4,"Primary","PIRLS","Macedonia, the former Yugoslav Republic of",807,"Location & Sex","Female","Urban","",,0.7844,0.5608,0.2523,0.0282,0.0313,0.0252,864,602,265
"MKD",2006,4,"Primary","PIRLS","Macedonia, the former Yugoslav Republic of",807,"Location & Sex","Female","Rural","",,0.5368,0.2359,0.0496,0.0448,0.0411,0.0178,267,116,20
"MKD",2006,4,"Primary","PIRLS","Macedonia, the former Yugoslav Republic of",807,"Location & Sex","Male","Urban","",,0.7252,0.4615,0.1744,0.0265,0.0276,0.0163,844,546,206
"MKD",2006,4,"Primary","PIRLS","Macedonia, the former Yugoslav Republic of",807,"Location & Sex","Male","Rural","",,0.4583,0.2123,0.044,0.0483,0.043,0.019,223,100,19
"NLD",2006,4,"Primary","PIRLS","Netherlands",528,"Location & Sex","Female","Urban","",,0.9964,0.9127,0.521,0.0028,0.0129,0.0285,1090,1022,619
"NLD",2006,4,"Primary","PIRLS","Netherlands",528,"Location & Sex","Female","Rural","",,0.9938,0.9346,0.5089,0.0057,0.0154,0.027,721,685,383
"NLD",2006,4,"Primary","PIRLS","Netherlands",528,"Location & Sex","Male","Urban","",,0.9927,0.8937,0.4515,0.0074,0.0151,0.0273,1068,980,516
"NLD",2006,4,"Primary","PIRLS","Netherlands",528,"Location & Sex","Male","Rural","",,0.9915,0.8935,0.4774,0.0055,0.0143,0.0276,715,659,356
"NOR",2006,4,"Primary","PIRLS","Norway",578,"Location & Sex","Female","Urban","",,0.9536,0.7382,0.2841,0.0069,0.0178,0.0229,1028,773,279
"NOR",2006,4,"Primary","PIRLS","Norway",578,"Location & Sex","Female","Rural","",,0.9312,0.6962,0.2457,0.0145,0.0305,0.0227,651,481,164
"NOR",2006,4,"Primary","PIRLS","Norway",578,"Location & Sex","Male","Urban","",,0.9067,0.6467,0.2129,0.0119,0.0217,0.0227,1010,712,245
"NOR",2006,4,"Primary","PIRLS","Norway",578,"Location & Sex","Male","Rural","",,0.8839,0.5749,0.1333,0.0217,0.034,0.0197,630,431,101
"",2006,4,"Primary","PIRLS","Norway (5th grade)",9578,"Location & Sex","Female","Urban","",,0.9942,0.9063,0.5669,0.0047,0.0196,0.0358,448,408,253
"",2006,4,"Primary","PIRLS","Norway (5th grade)",9578,"Location & Sex","Female","Rural","",,0.9838,0.8983,0.565,0.0129,0.0302,0.0581,190,168,100
"",2006,4,"Primary","PIRLS","Norway (5th grade)",9578,"Location & Sex","Male","Urban","",,0.9579,0.8294,0.3474,0.0181,0.0275,0.0338,429,359,153
"",2006,4,"Primary","PIRLS","Norway (5th grade)",9578,"Location & Sex","Male","Rural","",,0.9795,0.8689,0.4556,0.0165,0.0358,0.0529,206,183,95
"NZL",2006,4,"Primary","PIRLS","New Zealand",554,"Location & Sex","Female","Urban","",,0.9524,0.8183,0.4931,0.0051,0.0125,0.0157,2283,1968,1193
"NZL",2006,4,"Primary","PIRLS","New Zealand",554,"Location & Sex","Female","Rural","",,0.9513,0.821,0.4998,0.0158,0.0244,0.0348,459,377,225
"NZL",2006,4,"Primary","PIRLS","New Zealand",554,"Location & Sex","Male","Urban","",,0.8964,0.7081,0.4028,0.01,0.0144,0.0152,2262,1784,1027
"NZL",2006,4,"Primary","PIRLS","New Zealand",554,"Location & Sex","Male","Rural","",,0.8974,0.7212,0.4199,0.024,0.0403,0.0397,426,324,184
"POL",2006,4,"Primary","PIRLS","Poland",616,"Location & Sex","Female","Urban","",,0.9568,0.8004,0.4375,0.0071,0.0135,0.0186,1699,1423,772
