"COUNTRY","year","grade","level","survey","iso_code3","iso_num","category","Wealth","Sex","Language","Location","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","rlevel1_m","rlevel2_m","rlevel1_se","rlevel2_se","rlevel1_no","rlevel2_no"
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Location",,"","No","Rural",0.1723,0.0442,0.0086,1e-04,0.0308,0.0105,0.0055,5e-04,119,30,6,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Location",,"","No","Urban",0.238,0.0681,0.0138,0.0026,0.0375,0.0174,0.0064,0.0025,149,42,11,3,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Location",,"","Yes","Rural",0.3423,0.1062,0.022,0.0023,0.0217,0.0127,0.0049,0.0017,725,218,43,3,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Location",,"","Yes","Urban",0.4682,0.2079,0.0616,0.0103,0.0257,0.022,0.0126,0.0041,954,428,128,18,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Location",,"","No","Rural",0.6642,0.4246,0.1916,0.0434,0.0414,0.0474,0.0358,0.0147,158,100,39,10,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Location",,"","No","Urban",0.7851,0.5935,0.3766,0.1846,0.0305,0.0364,0.0405,0.0303,528,392,253,123,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Location",,"","Yes","Rural",0.7808,0.5883,0.3346,0.1329,0.0404,0.0462,0.0396,0.0258,814,629,363,156,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Location",,"","Yes","Urban",0.8635,0.7042,0.4591,0.2271,0.0197,0.0256,0.0274,0.0218,2254,1846,1239,612,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Location",,"","No","Rural",0.2754,0.112,0.0312,0.0054,0.03,0.0181,0.0088,0.0028,545,214,54,9,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Location",,"","No","Urban",0.4107,0.2041,0.0689,0.0132,0.0249,0.0211,0.0116,0.0044,1471,693,234,51,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Location",,"","Yes","Rural",0.1151,0.0468,0.0158,0.0012,0.0428,0.0289,0.0127,0.004,16,8,3,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Location",,"","Yes","Urban",0.4305,0.3131,0.1736,0.0701,0.0748,0.0785,0.0651,0.04,104,76,46,15,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Location",,"","No","Rural",0.8352,0.6983,0.5358,0.3488,0.0485,0.0634,0.0641,0.0702,295,243,182,105,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Location",,"","No","Urban",0.8862,0.7651,0.6176,0.4639,0.0884,0.1354,0.1668,0.1664,68,59,48,39,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Location",,"","Yes","Rural",0.9802,0.9307,0.8158,0.6302,0.0057,0.0102,0.0207,0.0257,1972,1869,1642,1265,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Location",,"","Yes","Urban",0.9834,0.9461,0.8543,0.6921,0.0055,0.0096,0.0136,0.0185,2337,2257,2059,1684,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",1,"Female","No","",0.1612,0.0461,0.0154,0,0.0729,0.0515,0.0337,0,7,0,0,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",1,"Female","Yes","",0.2771,0.0975,0.0208,0.0015,0.0251,0.0152,0.0076,0.0019,163,54,10,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",1,"Male","No","",0.0738,0.0221,0,0,0.04,0.0257,0,0,3,0,0,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",1,"Male","Yes","",0.2295,0.074,0.0199,0.0032,0.0237,0.0138,0.0085,0.0042,120,40,14,3,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",2,"Female","No","",0.2427,0.0923,0.0224,0,0.1239,0.0821,0.0314,0,6,1,0,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",2,"Female","Yes","",0.3435,0.1156,0.0221,0.0017,0.0284,0.0189,0.0102,0.0034,160,50,4,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",2,"Male","No","",0.0353,0.0086,0,0,0.045,0.0287,0,0,2,1,0,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",2,"Male","Yes","",0.2867,0.1046,0.0206,0.002,0.0303,0.0189,0.0093,0.0025,128,45,11,1,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",3,"Female","No","",0.2132,0.1202,0.006,0,0.0885,0.0701,0.02,0,5,4,0,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",3,"Female","Yes","",0.4144,0.179,0.043,0.0092,0.0329,0.0234,0.0115,0.0055,206,91,25,2,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",3,"Male","No","",0.1826,0.0337,0.0089,0,0.0807,0.046,0.0194,0,6,2,0,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",3,"Male","Yes","",0.3171,0.1249,0.0222,0.0027,0.0288,0.0186,0.0068,0.0031,162,72,16,2,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",4,"Female","No","",0.3041,0.0893,0.0194,0,0.143,0.0882,0.0455,0,6,0,0,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",4,"Female","Yes","",0.4666,0.2247,0.0628,0.0172,0.0368,0.029,0.0176,0.0124,254,118,35,6,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",4,"Male","No","",0.2402,0.1256,0.0372,0,0.0772,0.0581,0.0522,0,11,5,2,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",4,"Male","Yes","",0.4205,0.1932,0.0473,0.0039,0.038,0.0306,0.0152,0.0055,206,95,19,0,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",5,"Female","No","",0.7968,0.6513,0.375,0.1576,0.0889,0.1178,0.098,0.1231,25,19,12,6,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",5,"Female","Yes","",0.6991,0.4378,0.2226,0.0769,0.0319,0.0451,0.0355,0.0211,354,220,110,36,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",5,"Male","No","",0.4961,0.3242,0.1628,0.0395,0.0822,0.0894,0.0799,0.0387,19,12,8,3,,,,,,
"Cambodia",2019,5,"Primary","SEA-PLM","KHM",116,"Language & Sex & Wealth",5,"Male","Yes","",0.6177,0.3924,0.1845,0.0519,0.0317,0.0369,0.0256,0.0145,324,220,105,27,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",1,"Female","No","",0.0382,0.0099,0.0022,0,0.0163,0.0063,0.0036,0,16,4,0,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",1,"Female","Yes","",0.1252,0.0376,0.0065,5e-04,0.0266,0.0218,0.0052,0.0018,27,5,2,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",1,"Male","No","",0.0958,0.0255,0.0061,0,0.0294,0.0127,0.0061,0,35,8,0,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",1,"Male","Yes","",0.1279,0.0338,0.0088,0,0.0364,0.018,0.0096,0,19,4,1,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",2,"Female","No","",0.0754,0.0127,0.0051,9e-04,0.0362,0.0094,0.0049,0.0031,18,2,1,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",2,"Female","Yes","",0.191,0.0551,0.0117,0,0.0338,0.0198,0.0096,0,46,12,2,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",2,"Male","No","",0.0367,0.001,5e-04,0,0.0179,0.0021,0.0018,0,10,1,1,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",2,"Male","Yes","",0.1394,0.034,0.0049,0,0.0313,0.0156,0.0079,0,35,10,1,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",3,"Female","No","",0.1205,0.0459,0.0092,0,0.0361,0.0193,0.0087,0,18,7,1,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",3,"Female","Yes","",0.2106,0.0637,0.0139,0.0018,0.0375,0.0202,0.0095,0.0042,67,19,2,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",3,"Male","No","",0.1029,0.0286,0.0063,0,0.0293,0.0164,0.0069,0,23,4,3,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",3,"Male","Yes","",0.1947,0.0545,0.0109,0,0.0334,0.0175,0.0113,0,65,15,1,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",4,"Female","No","",0.2122,0.0741,0.0163,0,0.0649,0.0338,0.017,0,20,8,1,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",4,"Female","Yes","",0.3312,0.1198,0.02,0.0017,0.039,0.0267,0.0107,0.0034,111,38,3,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",4,"Male","No","",0.1616,0.0443,6e-04,0,0.0478,0.0236,0.0021,0,28,8,0,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",4,"Male","Yes","",0.2891,0.1008,0.0235,0.0046,0.0367,0.0267,0.01,0.0033,102,30,11,2,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",5,"Female","No","",0.3189,0.1625,0.0636,0.0046,0.0644,0.0568,0.058,0.0132,24,14,3,0,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",5,"Female","Yes","",0.5617,0.2846,0.0899,0.0156,0.0406,0.0407,0.0223,0.0108,218,123,30,4,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",5,"Male","No","",0.4217,0.2197,0.0938,0.0183,0.0638,0.0513,0.0388,0.0162,49,26,9,1,,,,,,
"Lao People's Democratic Republic",2019,5,"Primary","SEA-PLM","LAO",418,"Language & Sex & Wealth",5,"Male","Yes","",0.4961,0.2525,0.0902,0.0156,0.0462,0.0432,0.0267,0.0109,195,102,33,6,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",1,"Female","No","",0.1307,0.0121,0.0011,0,0.045,0.0123,0.0025,0,14,4,1,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",1,"Female","Yes","",0.2371,0.0553,0.0046,3e-04,0.0329,0.0135,0.0058,8e-04,91,24,2,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",1,"Male","No","",0.1253,0.0211,0,0,0.0459,0.0153,0,0,17,4,0,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",1,"Male","Yes","",0.2809,0.0849,0.0135,9e-04,0.0394,0.0211,0.0108,0.0025,114,37,9,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",2,"Female","No","",0.0818,0.0094,6e-04,0,0.0428,0.0065,0.0014,0,13,4,0,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",2,"Female","Yes","",0.3184,0.0718,0.014,0.0015,0.043,0.0218,0.0091,0.0033,118,26,7,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",2,"Male","No","",0.124,0.0261,0.002,0,0.0533,0.0183,0.0025,0,24,8,1,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",2,"Male","Yes","",0.309,0.0884,0.0156,0.0014,0.0321,0.0213,0.0098,0.0027,126,36,9,1,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",3,"Female","No","",0.2353,0.0527,0.0067,0,0.0649,0.0319,0.0146,0,27,4,1,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",3,"Female","Yes","",0.3768,0.1128,0.0256,0.0032,0.0323,0.0246,0.0107,0.0048,138,43,12,2,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",3,"Male","No","",0.194,0.053,0.0041,0,0.0591,0.0258,0.0085,0,23,6,1,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",3,"Male","Yes","",0.3291,0.1172,0.0278,0.0033,0.0382,0.0232,0.0152,0.0059,150,42,4,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",4,"Female","No","",0.302,0.1182,0.0395,8e-04,0.0836,0.042,0.0284,0.0026,34,10,2,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",4,"Female","Yes","",0.4785,0.172,0.0311,0.0016,0.0372,0.0233,0.0118,0.0031,176,68,12,1,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",4,"Male","No","",0.2667,0.0745,0.0145,8e-04,0.0529,0.0323,0.0188,0.0027,34,6,2,1,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",4,"Male","Yes","",0.3976,0.1341,0.0277,0.0022,0.0367,0.0211,0.0112,0.0039,197,60,12,1,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",5,"Female","No","",0.465,0.1969,0.0468,0.0019,0.0753,0.0567,0.0335,0.0064,44,16,4,0,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",5,"Female","Yes","",0.6662,0.3553,0.1149,0.0133,0.0325,0.0371,0.0263,0.0051,305,165,51,5,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",5,"Male","No","",0.4232,0.1271,0.0374,0.0125,0.0877,0.0592,0.024,0.0118,41,10,5,2,,,,,,
"Myanmar",2019,5,"Primary","SEA-PLM","MMR",104,"Language & Sex & Wealth",5,"Male","Yes","",0.6172,0.3286,0.1214,0.0287,0.0331,0.0344,0.0246,0.0159,299,162,59,11,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",1,"Female","No","",0.6147,0.3395,0.1288,0.0201,0.0687,0.057,0.0414,0.0159,80,47,17,2,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",1,"Female","Yes","",0.6974,0.4938,0.2396,0.0808,0.0378,0.0416,0.0407,0.0238,235,173,82,22,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",1,"Male","No","",0.5341,0.3098,0.1456,0.0346,0.0546,0.0559,0.0373,0.021,81,46,18,6,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",1,"Male","Yes","",0.6189,0.4021,0.2138,0.0822,0.0474,0.0455,0.0349,0.0208,196,132,74,28,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",2,"Female","No","",0.7689,0.5096,0.2495,0.07,0.0633,0.0724,0.0651,0.0483,73,42,27,11,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",2,"Female","Yes","",0.8231,0.6287,0.3516,0.1326,0.0313,0.0375,0.0345,0.0302,285,226,127,55,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",2,"Male","No","",0.6589,0.4321,0.237,0.0915,0.0611,0.0737,0.0595,0.035,67,50,27,8,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",2,"Male","Yes","",0.7302,0.5305,0.2816,0.1253,0.0469,0.0472,0.0372,0.0276,279,203,110,45,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",3,"Female","No","",0.7785,0.5733,0.3181,0.1475,0.0641,0.0699,0.0688,0.0584,58,44,23,9,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",3,"Female","Yes","",0.8804,0.7043,0.4272,0.2086,0.0245,0.0374,0.0451,0.0329,333,269,175,87,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",3,"Male","No","",0.8582,0.6854,0.4385,0.1882,0.0491,0.0666,0.0943,0.0653,51,38,22,10,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",3,"Male","Yes","",0.8464,0.6672,0.4119,0.1734,0.0263,0.0351,0.043,0.0309,325,256,161,72,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",4,"Female","No","",0.898,0.7047,0.4546,0.1706,0.0453,0.0755,0.0702,0.0686,75,58,39,14,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",4,"Female","Yes","",0.9383,0.8013,0.5427,0.2579,0.0155,0.0274,0.0375,0.0383,388,325,224,114,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",4,"Male","No","",0.8205,0.6087,0.3184,0.1841,0.0717,0.0761,0.0791,0.0664,48,34,22,13,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",4,"Male","Yes","",0.9018,0.724,0.4746,0.2217,0.0258,0.0327,0.038,0.032,327,263,184,86,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",5,"Female","No","",0.9709,0.8616,0.6135,0.3631,0.0324,0.0428,0.0797,0.0708,84,74,50,35,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",5,"Female","Yes","",0.9774,0.8885,0.6562,0.3745,0.0103,0.0208,0.0337,0.0387,369,339,249,135,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",5,"Male","No","",0.9195,0.8208,0.6485,0.3693,0.0467,0.066,0.0795,0.0729,69,59,47,25,,,,,,
"Malaysia",2019,5,"Primary","SEA-PLM","MYS",458,"Language & Sex & Wealth",5,"Male","Yes","",0.9602,0.8432,0.6171,0.3349,0.0129,0.0245,0.0364,0.034,331,289,216,124,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",1,"Female","No","",0.1241,0.0295,0.0073,0,0.0207,0.0095,0.0054,0,69,11,5,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",1,"Female","Yes","",0.0374,0.0147,0,0,0.0298,0.0244,0,0,1,1,0,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",1,"Male","No","",0.0917,0.0213,0.0012,0,0.0199,0.0081,0.0019,0,50,16,1,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",1,"Male","Yes","",0.022,0.0033,0,0,0.0266,0.0116,0,0,0,0,0,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",2,"Female","No","",0.2796,0.0896,0.0158,0.001,0.0272,0.0144,0.0079,0.0016,161,52,7,1,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",2,"Female","Yes","",0.1479,0.0408,0.0082,0,0.0725,0.0432,0.0178,0,4,1,1,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",2,"Male","No","",0.2098,0.0736,0.012,0.0013,0.0241,0.0155,0.0065,0.0022,112,35,7,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",2,"Male","Yes","",0.0322,0,0,0,0.0435,0,0,0,0,0,0,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",3,"Female","No","",0.3804,0.1436,0.0339,0.0022,0.0289,0.022,0.0096,0.0029,221,79,23,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",3,"Female","Yes","",0.1692,0.0647,0,0,0.0947,0.0589,0,0,3,1,0,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",3,"Male","No","",0.2865,0.1005,0.0334,0.0043,0.0304,0.0192,0.0098,0.0042,170,65,23,4,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",3,"Male","Yes","",0.0516,0.0047,0,0,0.0414,0.0153,0,0,2,0,0,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",4,"Female","No","",0.4587,0.2142,0.0539,0.0078,0.0348,0.0274,0.0126,0.004,266,107,26,4,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",4,"Female","Yes","",0.4165,0.2356,0.0746,0,0.1175,0.1029,0.069,0,11,6,2,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",4,"Male","No","",0.3938,0.174,0.0516,0.0096,0.0247,0.0176,0.0118,0.0062,227,101,27,2,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",4,"Male","Yes","",0.2411,0.1224,0.0998,0.033,0.0737,0.0476,0.0589,0.0426,9,5,4,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",5,"Female","No","",0.7074,0.4298,0.1816,0.041,0.0266,0.0304,0.024,0.0158,384,224,96,27,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",5,"Female","Yes","",0.8114,0.5265,0.1897,0.0313,0.0939,0.1222,0.0742,0.0477,30,19,6,0,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",5,"Male","No","",0.6495,0.4097,0.1532,0.0352,0.031,0.0336,0.0315,0.0145,354,216,73,22,,,,,,
"Philippines",2019,5,"Primary","SEA-PLM","PHL",608,"Language & Sex & Wealth",5,"Male","Yes","",0.7512,0.6292,0.402,0.1859,0.0802,0.1004,0.1023,0.0739,60,51,36,15,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",1,"Female","No","",0.7933,0.6447,0.4876,0.3192,0.069,0.0783,0.0735,0.0676,100,78,62,37,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",1,"Female","Yes","",0.9484,0.8773,0.7098,0.4593,0.0181,0.0289,0.041,0.0383,314,289,228,156,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",1,"Male","No","",0.8322,0.6818,0.4802,0.2677,0.0511,0.0772,0.0746,0.0736,126,102,69,33,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",1,"Male","Yes","",0.9456,0.862,0.7064,0.499,0.0191,0.0287,0.0311,0.036,342,315,253,182,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",2,"Female","No","",0.8622,0.6772,0.5138,0.3465,0.0761,0.1096,0.1425,0.1244,27,20,13,10,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",2,"Female","Yes","",0.9831,0.9288,0.7968,0.5823,0.0065,0.0138,0.0253,0.031,431,407,354,253,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",2,"Male","No","",0.8141,0.6918,0.559,0.4022,0.0845,0.0902,0.1042,0.1277,25,21,15,11,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",2,"Male","Yes","",0.9784,0.9333,0.8062,0.5839,0.0084,0.0146,0.0266,0.0344,454,431,379,268,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",3,"Female","No","",1,0.9166,0.8073,0.6978,0,0.1329,0.1825,0.1896,12,11,9,7,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",3,"Female","Yes","",0.9857,0.9452,0.8418,0.671,0.0076,0.0115,0.0244,0.0334,487,467,426,336,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",3,"Male","No","",0.9214,0.7804,0.6233,0.391,0.0807,0.1349,0.1317,0.1601,16,15,12,4,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",3,"Male","Yes","",0.9867,0.9382,0.8365,0.6646,0.0063,0.0176,0.0312,0.0301,446,426,372,304,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",4,"Female","No","",0.9701,0.9357,0.7916,0.6882,0.0523,0.0752,0.1144,0.1333,15,14,11,9,,,,,,
"Viet Nam",2019,5,"Primary","SEA-PLM","VNM",704,"Language & Sex & Wealth",4,"Female","Yes","",0.9897,0.9531,0.8722,0.7121,0.0073,0.0125,0.0236,0.0289,416,397,371,302,,,,,,
